index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
2.0,1.265495886341329e+18,Wed May 27 04:11:45 +0000 2020,RT @Yamiche: WH Press Sec Kayleigh McEnany throwing some shade on Joe Biden saying: President Trump is excited that Joe Biden emerged from… WH Press Sec Kayleigh McEnany throwing some shade on Joe Biden saying: President Trump is excited that Joe Biden em… https://t.co/oSvAjteZYR,LidstonePeter,False,St Cloud MN,12896.0,0.0,1.0,0.0
4.0,1.2655074416571597e+18,Wed May 27 04:57:40 +0000 2020,RT @JudicialWatch: Always seizing opportunities to advance its leftist agenda  the U.N is capitalizing on #coronavirus to promote sexual &amp;… Always seizing opportunities to advance its leftist agenda  the U.N is capitalizing on #coronavirus to promote sexu… https://t.co/u08MjkfaSV,RebecaKoch,False,,1283.0,0.0,1.0,0.0
7.0,1.2654956685772431e+18,Wed May 27 04:10:53 +0000 2020,https://t.co/dzphvnAo8T https://t.co/9ZCZmyjIHn 2 days after President Duterte rejected face-to-face classes without a vaccine against #COVID19  the Palace announc… https://t.co/SqYxhzKQoB,ralexm_,False,,66.0,0.0,0.0,1.0
8.0,1.2655010581781996e+18,Wed May 27 04:32:18 +0000 2020,RT @CNNBusiness: Unemployment rates in 43 states set record highs last month as the coronavirus pandemic forced nonessential businesses to… Unemployment rates in 43 states set record highs last month as the coronavirus pandemic forced nonessential busines… https://t.co/C6hw21f2CN,AdelineMartha,False,Manhattan NY,172.0,0.0,1.0,0.0
10.0,1.2655012058302628e+18,Wed May 27 04:32:54 +0000 2020,RT @SpecialKMB1969: 80 Patients and Staff Members Come Down with Coronavirus at Texas Nursing Home – 39 of 39 Saved by Hydroxychloroquine T… 80 Patients and Staff Members Come Down with Coronavirus at Texas Nursing Home – 39 of 39 Saved by Hydroxychloroqui… https://t.co/4ACaivZYEq,bakerr941,False,,4687.0,0.0,1.0,0.0
12.0,1.265495746490622e+18,Wed May 27 04:11:12 +0000 2020,RT @pbhushan1: Total chaos in India's Covid strategy. No steps taken for 2 months because of Namaste Trump&amp;toppling MP Govt.Then brutal loc… Total chaos in India's Covid strategy. No steps taken for 2 months because of Namaste Trump&amp;toppling MP Govt.Then b… https://t.co/7A9pTKedYa,d33p_crj,False,,741.0,0.0,1.0,0.0
13.0,1.2655007878636954e+18,Wed May 27 04:31:14 +0000 2020,RT @jaketapper: Law-abiding  tax-paying Americans lose their jobs in the midst of a devastating pandemic; U.S. President calls it “great ne… Law-abiding  tax-paying Americans lose their jobs in the midst of a devastating pandemic; U.S. President calls it “… https://t.co/7G3JSbwwR0,anirbafios,False,Palm Beach Florida,227.0,0.0,1.0,0.0
14.0,1.2655018393084887e+18,Wed May 27 04:35:25 +0000 2020,RT @nappers99: Black Minnesotans will protest a murder tonight after the stay-at-home order has been lifted. Last month white Minnesotans p… Black Minnesotans will protest a murder tonight after the stay-at-home order has been lifted. Last month white Minn… https://t.co/k8RHxZikEs,RanaaAlii,False,Winnipeg MB,263.0,0.0,1.0,0.0
16.0,1.265495887607935e+18,Wed May 27 04:11:46 +0000 2020,RT @jaketapper: Law-abiding  tax-paying Americans lose their jobs in the midst of a devastating pandemic; U.S. President calls it “great ne… Law-abiding  tax-paying Americans lose their jobs in the midst of a devastating pandemic; U.S. President calls it “… https://t.co/7G3JSbwwR0,ayveemia,False,The Upsidedown,61.0,0.0,1.0,0.0
17.0,1.2654962637363773e+18,Wed May 27 04:13:15 +0000 2020,RT @rabiasquared: The President of the United States is cheering the layoffs of 20% of The Atlantic. He is cheering layoffs. More jobless A… The President of the United States is cheering the layoffs of 20% of The Atlantic. He is cheering layoffs. More job… https://t.co/atQB8Zau4B,RealSorien,False,Columbia Heights MN,186.0,0.0,1.0,0.0
18.0,1.2654957777632993e+18,Wed May 27 04:11:19 +0000 2020,@draxlul Was 👌 close to looking like that until the lockdown came in place thanks to the fake experts and mainstream media.,EdgyGreenArrow,False,Brampton Ontario,181.0,0.0,0.0,0.0
20.0,1.2654954556701204e+18,Wed May 27 04:10:03 +0000 2020,RT @sultanoftired: I don't remember seeing tear gas when the lockdown protesters came to govt buildings with rifles and shoving cops around I don't remember seeing tear gas when the lockdown protesters came to govt buildings with rifles and shoving cops a… https://t.co/gjHmxQGJ9r,likeDELIciosa,False,MA,835.0,0.0,1.0,0.0
26.0,1.2655014356152074e+18,Wed May 27 04:33:48 +0000 2020,RT @AngrierWHStaff: Client number 3 must realize Fox is going to get the shit sued out of them after the pandemic. Client number 3 must realize Fox is going to get the shit sued out of them after the pandemic. https://t.co/sBufAbPNBu,iyem_1,False,Florida USA,319.0,0.0,1.0,0.0
27.0,1.265501038808793e+18,Wed May 27 04:32:14 +0000 2020,@TandonRaveena As MHA has permitted opening of stadiums without spectators &amp; Delhi BJP Chief can use that MHA order… https://t.co/Keij5XDERV,dusshool99fan,False,Middle of nowhere,10.0,0.0,0.0,0.0
28.0,1.265501687474684e+18,Wed May 27 04:34:48 +0000 2020,RT @belfastcc: A reminder that we are reopening our car parks at our parks from tomorrow (Wed)  and are putting the necessary arrangements… A reminder that we are reopening our car parks at our parks from tomorrow (Wed)  and are putting the necessary arra… https://t.co/gTpqcllsfG,MarieHMurphy,False,Northern Ireland,3357.0,0.0,1.0,0.0
30.0,1.265507179601236e+18,Wed May 27 04:56:38 +0000 2020,RT @jon_bartley: I have written to the Cabinet Secretary asking why yesterday's press conference was permitted and for an investigation int… I have written to the Cabinet Secretary asking why yesterday's press conference was permitted and for an investigat… https://t.co/MLKbvJ4ef4,sean_piggott,False,Bangkok Thailand,630.0,0.0,1.0,0.0
32.0,1.2655016619734057e+18,Wed May 27 04:34:42 +0000 2020,RT @itsjustnece: I ain’t gon lie this pandemic been a blessing for me. I ain’t gon lie this pandemic been a blessing for me.,_TeamGINE,False,,365.0,0.0,1.0,0.0
34.0,1.2655010287299994e+18,Wed May 27 04:32:11 +0000 2020,RT @JoeNBC: 100 000 Americans have died from Covid-19.   February 26: “When you have 15 people  and the 15 within a couple of days is going… 100 000 Americans have died from Covid-19.   February 26: “When you have 15 people  and the 15 within a couple of d… https://t.co/DJ7Dakz1JO,LazuliLady,False,Broomtar’s Ohio USA,12330.0,0.0,1.0,0.0
35.0,1.2655062210350449e+18,Wed May 27 04:52:49 +0000 2020,RT @RahulGandhi: To view my complete conversation with global public health experts  Prof Ashish Jha &amp; Prof Johan Giesecke on the nature of… To view my complete conversation with global public health experts  Prof Ashish Jha &amp; Prof Johan Giesecke on the na… https://t.co/5uzuCCbaZc,democr_pretense,False,bhilai,300.0,0.0,1.0,0.0
37.0,1.265507059933614e+18,Wed May 27 04:56:09 +0000 2020,RT @gretchenho: This is what you call turning adversity into opportunity  edge to advantage 😍 @prinsesachinita This is what you call turning adversity into opportunity  edge to advantage 😍 @prinsesachinita https://t.co/kdIV0BAXr2,bae_myoui,False,Republic of the Philippines,198.0,0.0,1.0,0.0
38.0,1.2655005403158446e+18,Wed May 27 04:30:15 +0000 2020,RT @ann_neona: It's only 3:45  Trump rage tweets: 🚨Admits vote suppression 🚨Attacks a Veteran  again 🚨Attacks Scarborough &amp; WIFE for report… It's only 3:45  Trump rage tweets: 🚨Admits vote suppression 🚨Attacks a Veteran  again 🚨Attacks Scarborough &amp; WIFE f… https://t.co/T5K4JUVGDW,RandyMa63934481,False,The Great Midwest,1768.0,0.0,1.0,0.0
39.0,1.2654959705251308e+18,Wed May 27 04:12:05 +0000 2020,RT @rosannecash: My daughter lives in Nashville &amp; wore her mask to buy groceries. Guy yells at her: ‘Liberal pussy!’ Back story: she nearly… My daughter lives in Nashville &amp; wore her mask to buy groceries. Guy yells at her: ‘Liberal pussy!’ Back story: she… https://t.co/YgQInFiUfH,StaceyLBrandes,False,PA,148.0,0.0,1.0,0.0
40.0,1.2655009297443062e+18,Wed May 27 04:31:48 +0000 2020,RT @gina_scooter: Rather than framing this as the hairstylist individual actions exposing 140 people maybe point out the state re opening l… Rather than framing this as the hairstylist individual actions exposing 140 people maybe point out the state re ope… https://t.co/zkb29HDahE,CrossingJasmine,False,New York NY,276.0,0.0,1.0,0.0
41.0,1.265500802300416e+18,Wed May 27 04:31:17 +0000 2020,RT @MikePrysner: Trump was elected for anti-BlackLivesMatter rhetoric &amp; Biden’s pinned tweet is a joke about drinking bleach. Another racis… Trump was elected for anti-BlackLivesMatter rhetoric &amp; Biden’s pinned tweet is a joke about drinking bleach. Anothe… https://t.co/ZqbQuxgt4m,amaral,False,Evanston IL,1217.0,0.0,1.0,0.0
42.0,1.2655014158809539e+18,Wed May 27 04:33:44 +0000 2020,RT @dstinc1913: Join the #PoorPeoplesCampaign and @NPHCHQ tonight at 7:00 pm for a virtual national town hall to discuss the impacts of sys… Join the #PoorPeoplesCampaign and @NPHCHQ tonight at 7:00 pm for a virtual national town hall to discuss the impact… https://t.co/oM71p3F2vA,SanPants,False,Ratchet City LA,1593.0,0.0,1.0,0.0
43.0,1.2654954351726141e+18,Wed May 27 04:09:58 +0000 2020,Seriously  diabetic coma is no joke. Don’t fucking take insulin if you haven’t been prescribed it. https://t.co/g5NR6s6UGx Warning: If you do not have diabetes and you take insulin at Trump’s outrageous suggestion to protect yourself from… https://t.co/mIE7l7ISrp,codswallop420,False,,512.0,0.0,0.0,1.0
