index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
1.0,1.2877199488825713e+18,Mon Jul 27 12:02:15 +0000 2020,With the launch of hi-tech state of the art testing facility today  West Bengal  Maharashtra  and UP are going to g… https://t.co/lYXI4EErI9,sulagnaseng,False,Kolkata West Bengal,124.0,0.0,0.0,0.0
2.0,1.2877299735585587e+18,Mon Jul 27 12:42:05 +0000 2020,RT @joewilliams_tew: Perfect point Perfect point https://t.co/gLKa7LLsaK,ChelecaJeleca,False,Gumbayggirr land,108.0,0.0,1.0,0.0
6.0,1.2877253163251548e+18,Mon Jul 27 12:23:34 +0000 2020,RT @imszmc: This is just my personal take about the matter and is not in anyway asking anyone to sign the petition. Take some time to go th… This is just my personal take about the matter and is not in anyway asking anyone to sign the petition. Take some t… https://t.co/2A9GtPxSJo,gwyne123456,False,,115.0,0.0,1.0,0.0
7.0,1.287733584305029e+18,Mon Jul 27 12:56:26 +0000 2020,RT @iamcyprian: The rest of the world just went on with life and corona stayed in Africa. The rest of the world just went on with life and corona stayed in Africa.,_SifisoD,False,Pretoria South Africa,374.0,0.0,1.0,0.0
8.0,1.2877199394623652e+18,Mon Jul 27 12:02:12 +0000 2020,Pitch Good Quality Stories to The Media About What is Happening Right Now and Provide Valuehttps://www.christinadav… https://t.co/bCKhXBkpZL,PRforAnyone,True,WASHINGTON D.C.,38280.0,0.0,0.0,0.0
11.0,1.2877205736283791e+18,Mon Jul 27 12:04:44 +0000 2020,RT @GCheriyan: Covid Response: First phase of CUTS Awareness Campaign on Good Hygienic Practices organised by @CUTSCART  held from July 1-1… Covid Response: First phase of CUTS Awareness Campaign on Good Hygienic Practices organised by @CUTSCART  held from… https://t.co/LSwODCwyQC,CUTSCCIER,False,Jaipur Rajasthan,823.0,0.0,1.0,0.0
12.0,1.28772014109508e+18,Mon Jul 27 12:03:00 +0000 2020,This is deliberate to break the spirits of Americans https://t.co/oEcZaOG7jF Coronavirus pandemic rules mean no live family tributes at 9/11 memorial https://t.co/ZWdCUFr3IS https://t.co/UMIO9GF4pr,_johnny_2x4_,False,,229.0,0.0,0.0,1.0
13.0,1.2877221131352556e+18,Mon Jul 27 12:10:51 +0000 2020,RT @thehill: #BREAKING: First Phase 3 test of coronavirus vaccine begins in US https://t.co/CA7Fno97aJ https://t.co/JYjbupXCPA #BREAKING: First Phase 3 test of coronavirus vaccine begins in US https://t.co/CA7Fno97aJ https://t.co/JYjbupXCPA,jimsx50,False,Iowa USA,9795.0,0.0,1.0,0.0
14.0,1.287722419160064e+18,Mon Jul 27 12:12:04 +0000 2020,RT @SkyNews: An aerial view of a beach in Chipiona  a coastal town in Spain  shows social distancing in place with visitors spaced apart.… An aerial view of a beach in Chipiona  a coastal town in Spain  shows social distancing in place with visitors spac… https://t.co/JKG98mVw3V,markets_people,False,Madrid|Lugo|A Coruña,480.0,0.0,1.0,0.0
15.0,1.2877323052980388e+18,Mon Jul 27 12:51:21 +0000 2020,RT @girishmeh7184: @BpclPune @BPCLimited @BPCLLPG  #BharatGas There is #LOOTMAAR going on in #Bhingar #Ahmednagar please look into this and… @BpclPune @BPCLimited @BPCLLPG  #BharatGas There is #LOOTMAAR going on in #Bhingar #Ahmednagar please look into thi… https://t.co/y9xpLwzVsE,girishmeh7184,False,,143.0,0.0,1.0,0.0
17.0,1.2877208243178947e+18,Mon Jul 27 12:05:43 +0000 2020,RT @bmcbbsr: Update on newly detected &amp; cured #COVID19 cases in the last 24 hrs under the BMC area on 27th July 2020(till 9am).  Further co… Update on newly detected &amp; cured #COVID19 cases in the last 24 hrs under the BMC area on 27th July 2020(till 9am).… https://t.co/5XTO1hG90c,iamdibakarnayak,False,Bhubaneswar India,379.0,0.0,1.0,0.0
