index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
2.0,1.2517819465287311e+18,Sun Apr 19 07:57:27 +0000 2020,RT @PatrickStrud: Excl: Hungary's PM is using COVID-19 to end gender recognition  in 2 weeks. Trans people are trying flee + turning to sui… Excl: Hungary's PM is using COVID-19 to end gender recognition  in 2 weeks. Trans people are trying flee + turning… https://t.co/EYbPRNKsny,badambulist,False,,328.0,0.0,1.0,0.0
5.0,1.251776452409901e+18,Sun Apr 19 07:35:37 +0000 2020,RT @Casey: dozens of homeless people sleeping on the concrete within sight of this Skate Park  why not take the time  energy and resources… dozens of homeless people sleeping on the concrete within sight of this Skate Park  why not take the time  energy a… https://t.co/zYsrBbz2Sh,itsmeleaaaaah,False,Paris France,297.0,0.0,1.0,0.0
6.0,1.2517711304672297e+18,Sun Apr 19 07:14:28 +0000 2020,RT @piersmorgan: So let me get this straight: we’re all apparently having to wait for Boris Johnson to return to work to make any big decis… So let me get this straight: we’re all apparently having to wait for Boris Johnson to return to work to make any bi… https://t.co/kFDq9MXVW8,casbenton,False,,65.0,0.0,1.0,0.0
7.0,1.2517767664542392e+18,Sun Apr 19 07:36:52 +0000 2020,Great thread from the gaffer on national volunteering picture and challenges ahead for society.👇🏻 https://t.co/lsGZPLHo5G As some of you know @volunteering_uk have been heavily involved in the co-ordination of the national volunteering r… https://t.co/rfbVl98l4p,stephen_skeet,False,Ipswich England,1110.0,0.0,0.0,1.0
9.0,1.2517762179482255e+18,Sun Apr 19 07:34:41 +0000 2020,RT @JoeBiden: The United States should be standing up for freedom and standing with the people of Hong Kong. Instead  Trump has said he's “… The United States should be standing up for freedom and standing with the people of Hong Kong. Instead  Trump has s… https://t.co/HvbsZ6v7br,TammyRRay2,False,Cleveland OH,2994.0,0.0,1.0,0.0
11.0,1.2517761878332416e+18,Sun Apr 19 07:34:34 +0000 2020,RT @muftimenk: Keep your sense of inner peace. Use only kind words and don’t provoke others. Tensions are high right now as the world finds… Keep your sense of inner peace. Use only kind words and don’t provoke others. Tensions are high right now as the wo… https://t.co/f0fQpi3tAD,LoveLilly012,False,,327.0,0.0,1.0,0.0
13.0,1.2517708783392276e+18,Sun Apr 19 07:13:28 +0000 2020,RT @PaulbernalUK: The thing is  @Peston  we’ve been telling you about Boris Johnson from the very start. You were *never* willing to believ… The thing is  @Peston  we’ve been telling you about Boris Johnson from the very start. You were *never* willing to… https://t.co/7RvS1FSMv3,ProudGranny24,False,RT etc not an endorsement ,1935.0,0.0,1.0,0.0
14.0,1.2517715821602857e+18,Sun Apr 19 07:16:16 +0000 2020,RT @FOSFUSA: Partition never made sense and it never will!!!  It is now undermining efforts to tackle #COVIDー19. Irish Unity is the future.… Partition never made sense and it never will!!!  It is now undermining efforts to tackle #COVIDー19. Irish Unity is… https://t.co/WmNK83FiVN,paulgre37184992,False,,434.0,0.0,1.0,0.0
15.0,1.2517717636645683e+18,Sun Apr 19 07:16:59 +0000 2020,RT @robsatloff: I kept a secret to #Jordan’s #KingHussein for a quarter-century. Now  with his son #KingAbdullah at the height of his popul… I kept a secret to #Jordan’s #KingHussein for a quarter-century. Now  with his son #KingAbdullah at the height of h… https://t.co/1yvXlwxVEv,FayezKareem,False,,46.0,0.0,1.0,0.0
16.0,1.2517762093960397e+18,Sun Apr 19 07:34:39 +0000 2020,RT @superm: #StayHomeWithSuperM Project   #2 SuperM Movie Recommendations Today’s Film Curator : #TAEMIN🎞  ➡https://t.co/G9mxNn5DC0  #Super… #StayHomeWithSuperM Project   #2 SuperM Movie Recommendations Today’s Film Curator : #TAEMIN🎞  ➡… https://t.co/wyGOMMlkFh,areumglossier,False,黄旭熙 / 𝖶𝗈𝗇𝗀 𝖸𝗎𝗄 𝖧𝖾𝗂💨,12.0,0.0,1.0,0.0
