index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
3.0,1.2682538657885307e+18,Wed Jun 03 18:50:59 +0000 2020,RT @Ben_garrod: Book. This. Now. https://t.co/hbIhDNs6Vg Book. This. Now. https://t.co/hbIhDNs6Vg,angelareeve952,False,,37.0,0.0,1.0,0.0
4.0,1.2682492159075697e+18,Wed Jun 03 18:32:30 +0000 2020,RT @LickshotLippy: But when the guy spat at Belly Mujinga and it gave her the virus and killed her  nothing happens? But when the guy spat at Belly Mujinga and it gave her the virus and killed her  nothing happens? https://t.co/l25YhHcRXo,asimburney,False,,2591.0,0.0,1.0,0.0
7.0,1.2682550004149002e+18,Wed Jun 03 18:55:29 +0000 2020,Exactly!!! https://t.co/sqP48OanHe The day we began lockdown we had 55 covid deaths. Today we had 358 covid deaths. Why is society safer at 358 deaths than 55?,AimeeOwly,False,,1.0,0.0,0.0,1.0
8.0,1.2682490151682499e+18,Wed Jun 03 18:31:42 +0000 2020,This is a fantastic opportunity and great for year 11 students to focus on as part of their bridge to @WRSixthForm.… https://t.co/qFRqQv8vBt Find out about ‘Writing the Pandemic: Manchester’s Young Voices’. Students at Manchester high schools and colleges… https://t.co/lqZ6fOY0Ix,MrJAtkinson,False,Manchester England,823.0,0.0,0.0,1.0
9.0,1.2682484156679619e+18,Wed Jun 03 18:29:19 +0000 2020,RT @solomongeorgio: Imagine living in a country that it took months to respond to a pandemic and seconds to militarize the police against i… Imagine living in a country that it took months to respond to a pandemic and seconds to militarize the police against its citizens,NormanSiglerPol,False,USA,3226.0,0.0,1.0,0.0
11.0,1.2682546275537838e+18,Wed Jun 03 18:54:00 +0000 2020,We remember.   Howard Reich on the jazz centenarians of 2020  whose celebrations have been canceled or postponed du… https://t.co/l0pGR3JLnj,JazzcastTO,False,Toronto Ontario,1653.0,0.0,0.0,0.0
13.0,1.2682550245949809e+18,Wed Jun 03 18:55:35 +0000 2020,@waccglobal partner Espacio de Comunicacion Insular has urged governments of the #Dominican Republic and #Haiti to… https://t.co/2WbdlJaVEL,waccglobal,False,Toronto Canada,1679.0,0.0,0.0,0.0
14.0,1.2682479250768814e+18,Wed Jun 03 18:27:22 +0000 2020,WH Press briefing: The Press has a whole list of questions to ask. The camera pans to show typed list. Proof that t… https://t.co/A3af26orhj,1776usafreedom,False,,1.0,0.0,0.0,0.0
16.0,1.2682482567163412e+18,Wed Jun 03 18:28:41 +0000 2020,RT @solomongeorgio: Imagine living in a country that it took months to respond to a pandemic and seconds to militarize the police against i… Imagine living in a country that it took months to respond to a pandemic and seconds to militarize the police against its citizens,bellamcdonald81,False,,37.0,0.0,1.0,0.0
18.0,1.268243042223493e+18,Wed Jun 03 18:07:58 +0000 2020,RT @washingtonpost: Latin America had time to prepare for the coronavirus. It couldn’t stop the inevitable. https://t.co/okJG2Gge82 Latin America had time to prepare for the coronavirus. It couldn’t stop the inevitable. https://t.co/okJG2Gge82,ElinaAjalin,False,Lohja Finland,216.0,0.0,1.0,0.0
19.0,1.2682481938857083e+18,Wed Jun 03 18:28:26 +0000 2020,Will Covid be the catalyst to the social change we need?,FluHereVIA305,False,Beyond The Clouds,142.0,0.0,0.0,0.0
20.0,1.2682481434198917e+18,Wed Jun 03 18:28:14 +0000 2020,RT @DHSCgovuk: As of 9am 3 June  there have been 4 786 219 tests  with 171 829 tests on 2 June.   279 856 people have tested positive.   As… As of 9am 3 June  there have been 4 786 219 tests  with 171 829 tests on 2 June.   279 856 people have tested posit… https://t.co/QAxFHwrEoW,ellwess23,False,,24.0,0.0,1.0,0.0
22.0,1.2682546820250993e+18,Wed Jun 03 18:54:13 +0000 2020,RT @jennyy_w15: Tear gas... During a pandemic that affects the respiratory system. Tear gas... During a pandemic that affects the respiratory system.,robbaaae,False,Orange CA,39.0,0.0,1.0,0.0
23.0,1.2682421446885745e+18,Wed Jun 03 18:04:24 +0000 2020,RT @YourAnonNews: Yeah  no. They're hiding their badge numbers so they don't have to be held accountable for beating the shit out of innoce… Yeah  no. They're hiding their badge numbers so they don't have to be held accountable for beating the shit out of… https://t.co/I3hV3Un0EV,erickca76525932,False,Buin Chile,583.0,0.0,1.0,0.0
25.0,1.268242698751918e+18,Wed Jun 03 18:06:36 +0000 2020,RT @RiscaCCS: We will provide information on how we plan to reopen the school only when we have received further guidance from the Welsh Go… We will provide information on how we plan to reopen the school only when we have received further guidance from th… https://t.co/FzDdmpwIEs,HS_Caerphilly,False,Caerphilly Wales,716.0,0.0,1.0,0.0
26.0,1.2682479881802588e+18,Wed Jun 03 18:27:37 +0000 2020,Updated for 6/3/20: #Fairfax #Coronavirus #COVID19 https://t.co/EPI8IvioIJ,bazhokie,False,,81.0,0.0,0.0,0.0
27.0,1.2682423844389642e+18,Wed Jun 03 18:05:21 +0000 2020,RT @FrancisXRocca: “Anecdotal evidence suggests that this increased demand may likely be related to Covid-19  the impact of state-level res… “Anecdotal evidence suggests that this increased demand may likely be related to Covid-19  the impact of state-leve… https://t.co/otbllS1DpW,DictatorPope,False,,6688.0,0.0,1.0,0.0
