index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
3.0,1.263792076547711e+18,Fri May 22 11:21:25 +0000 2020,RT @u4eakooks_net: pdogg on ig: "SUGA's another ego/self AGUST D "D-2" MIXTAPE !! the album that he worked on at home because of the covid-… pdogg on ig: "SUGA's another ego/self AGUST D "D-2" MIXTAPE !! the album that he worked on at home because of the c… https://t.co/N2tZastbeF,jjkbutt,False,,154.0,0.0,1.0,0.0
4.0,1.263798234843136e+18,Fri May 22 11:45:54 +0000 2020,No. They should always have been down and should stay down until this crisis is not killing over 1000 Americans a d… https://t.co/jPEAcwukOD I will be lowering the flags on all Federal Buildings and National Monuments to half-staff over the next three days… https://t.co/D2PAXlVvT4,KrisColvin,False,Greenville/Old Town,36212.0,0.0,0.0,1.0
5.0,1.263797823268696e+18,Fri May 22 11:44:15 +0000 2020,RT @theUL: Let's go back to 1665 to join the 22-year-old Isaac Newton as the #plague banishes him from @Cambridge_Uni to his home in Lincol… Let's go back to 1665 to join the 22-year-old Isaac Newton as the #plague banishes him from @Cambridge_Uni to his h… https://t.co/XYMPGnyntR,CateStockbridge,False,EH3 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇰🇾 🇬🇧,15.0,0.0,1.0,0.0
6.0,1.263797617219289e+18,Fri May 22 11:43:26 +0000 2020,Fascinating article from the Canadian perspective about the lock down and why it's time to lift it. Includes info o… https://t.co/K9xDKZ1tMu,DavidGuelph,False,,45.0,0.0,0.0,0.0
7.0,1.263792265727705e+18,Fri May 22 11:22:10 +0000 2020,RT @xyzachh: clapping for the NHS at 8pm does not in any way make up for u spending the entire week out breaking social distancing regulati… clapping for the NHS at 8pm does not in any way make up for u spending the entire week out breaking social distancing regulations btw,ayayyyron,False,priv | @iloveyou_vbs,121.0,0.0,1.0,0.0
8.0,1.263797743144837e+18,Fri May 22 11:43:56 +0000 2020,@JoeBiden Amazing how members of the @DNC completely ignore how they reacted to the travel ban that saved so many l… https://t.co/nAZVXyc6Qn,donwayne0615,False,,4022.0,0.0,0.0,0.0
9.0,1.2637971058371707e+18,Fri May 22 11:41:24 +0000 2020,RT @RifatJawaid: Strictest action must be taken against TV channel executive for forcing his staff to work with COVID-19 infection. A probe… Strictest action must be taken against TV channel executive for forcing his staff to work with COVID-19 infection.… https://t.co/znYZ2gMKoD,DataAsha,False,,43.0,0.0,1.0,0.0
10.0,1.2637981744072212e+18,Fri May 22 11:45:39 +0000 2020,RT @svaradarajan: Can @narendramodi please assure India that money donated by the public to PMCARES has not been used to pay for 5 000 ‘use… Can @narendramodi please assure India that money donated by the public to PMCARES has not been used to pay for 5 00… https://t.co/JDH0pysmQI,kiran_kumar_v,False,Bengaluru South India,66.0,0.0,1.0,0.0
12.0,1.2637969542676193e+18,Fri May 22 11:40:48 +0000 2020,RT @SkyNews: #Coronavirus: Donald Trump refused to wear a face mask during a tour in Michigan - despite a warning he could be banned from v… #Coronavirus: Donald Trump refused to wear a face mask during a tour in Michigan - despite a warning he could be ba… https://t.co/O7p1TbJM2e,collinmacheke,False,,3719.0,0.0,1.0,0.0
13.0,1.2637920651812536e+18,Fri May 22 11:21:23 +0000 2020,RT @Goli_Alavi: Coronavirus with all its cruelty   is not a child killer !  #QudsDay #Palestine 🇵🇸 https://t.co/blekDQRf7h Coronavirus with all its cruelty   is not a child killer !  #QudsDay #Palestine 🇵🇸 https://t.co/blekDQRf7h,gomnam3_1_3,False,,24.0,0.0,1.0,0.0
14.0,1.2637913601607844e+18,Fri May 22 11:18:35 +0000 2020,RT @AUThackeray: Absolutely shameful  what lust for power politics can make leaders do. Making kids stand in the heat  with their masks low… Absolutely shameful  what lust for power politics can make leaders do. Making kids stand in the heat  with their ma… https://t.co/794N3NmijB,NiteshSoundalk3,False,Wadala Mumbai,886.0,0.0,1.0,0.0
16.0,1.263791296877146e+18,Fri May 22 11:18:19 +0000 2020,RT @JackPosobiec: BREAKING: Nearly 70% of Pennsylvania Covid deaths are in nursing homes after @GovernorTomWolf order on infected patients BREAKING: Nearly 70% of Pennsylvania Covid deaths are in nursing homes after @GovernorTomWolf order on infected patients,jim662017,False,Buckman Minnesota,12.0,0.0,1.0,0.0
18.0,1.2637917481255158e+18,Fri May 22 11:20:07 +0000 2020,#IoT and #AI against #Covid-19 Smart cameras will soon check if you’re social distancing and wearing a mask via… https://t.co/38JDavSx71,GirbauLab,False,,503.0,0.0,0.0,0.0
20.0,1.2637921316566753e+18,Fri May 22 11:21:38 +0000 2020,RT @Kapilra78937492: @pravindubey121 @News18MP @ChouhanShivraj @JM_Scindia @jitupatwari @Pankajonmission @SyedZps @rajneesh4n संविदा स्वा… @pravindubey121 @News18MP @ChouhanShivraj @JM_Scindia @jitupatwari @Pankajonmission @SyedZps @rajneesh4n संविदा… https://t.co/zAD9QTWoWv,Ps9993795895,False,Gwalior (Madhya Pradesh) heart,170.0,0.0,1.0,0.0
24.0,1.263797961353392e+18,Fri May 22 11:44:48 +0000 2020,RT @maddow: This is absolutely ridiculous.  Many parts of Trump Administration have done a terrible job contending with the epidemic  clear… This is absolutely ridiculous.  Many parts of Trump Administration have done a terrible job contending with the epi… https://t.co/Zb0inEqZbd,cynvgc08,False,Las Vegas NV,13.0,0.0,1.0,0.0
