index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
2.0,1.2287659657578824e+18,Sat Feb 15 19:40:10 +0000 2020,RT @paulmozur: To stop the spread of the coronavirus much of China has effectively shut down. What’s not been fully appreciated is how exte… To stop the spread of the coronavirus much of China has effectively shut down. What’s not been fully appreciated is… https://t.co/97EIatpv1R,mwspaan,False,Amsterdam the Netherlands,614.0,0.0,1.0,0.0
4.0,1.2287666430917222e+18,Sat Feb 15 19:42:51 +0000 2020,Chinese doctors say Wuhan coronavirus reinfection even deadlier https://t.co/Yfn5JZzWgX https://t.co/Sf96jS4Zpf,NC_Renegade,False,North Carolina,869.0,0.0,0.0,0.0
6.0,1.2287618677845115e+18,Sat Feb 15 19:23:53 +0000 2020,RT @WilliamYang120: Breaking - A court in #Beijing said based on the current law in #China  intentionally spreading virus of an infectious… Breaking - A court in #Beijing said based on the current law in #China  intentionally spreading virus of an infecti… https://t.co/RVKndTiWqn,Tuiterin1,False,,559.0,0.0,1.0,0.0
7.0,1.2287627428631552e+18,Sat Feb 15 19:27:21 +0000 2020,RT @_madeinghana_: Retweet till @shattawalegh sees this❤️🥺 #Trending #coronavirus https://t.co/E7v6nSQJFK Retweet till @shattawalegh sees this❤️🥺 #Trending #coronavirus https://t.co/E7v6nSQJFK,sylensa_adolf,False,Tema Ghana,2799.0,0.0,1.0,0.0
8.0,1.2287615413250499e+18,Sat Feb 15 19:22:35 +0000 2020,RT @prageru: Socialism failed in:  🇩🇪 Germany ☭ The Soviet Union 🇰🇭 Cambodia 🇨🇺 Cuba 🇨🇳 China 🇻🇳 Vietnam 🇰🇵 North Korea 🇷🇴 Romania 🇻🇪 Venez… Socialism failed in:  🇩🇪 Germany ☭ The Soviet Union 🇰🇭 Cambodia 🇨🇺 Cuba 🇨🇳 China 🇻🇳 Vietnam 🇰🇵 North Korea 🇷🇴 Roman… https://t.co/glJBcdmWxk,Athanasios777,False,,56.0,0.0,1.0,0.0
10.0,1.2287666018701804e+18,Sat Feb 15 19:42:41 +0000 2020,5 U.S. cities to start testing patients with flu-like symptoms for coronavirus GET HERE ==&gt; https://t.co/FGki0LQ8if… https://t.co/7MUVZ2XHra,bitcoinconnect,False,,1056.0,0.0,0.0,0.0
11.0,1.2287671926044017e+18,Sat Feb 15 19:45:02 +0000 2020,RT @FluTrackers: China - Shanghai: 412 temperature monitoring stations in the entire road network - it appears 2 districts in city are lock… China - Shanghai: 412 temperature monitoring stations in the entire road network - it appears 2 districts in city a… https://t.co/FoiNTrytZG,wsheap,False,,424.0,0.0,1.0,0.0
15.0,1.228760838137434e+18,Sat Feb 15 19:19:47 +0000 2020,RT @callumtwalker: What do you mean "Finally"? What do you mean "Finally"? https://t.co/YFsZ7oOaLl,DrKyuhyun,False,19 she/her - wont fb minors,807.0,0.0,1.0,0.0
18.0,1.228768692491686e+18,Sat Feb 15 19:51:00 +0000 2020,Top phone China Xiaomi Huawei Meizu... UK's misguided decision on Huawei — Five Eyes Minus One | TheHill… https://t.co/NFiocyYSPY,ls1900,False,,99.0,0.0,0.0,0.0
19.0,1.2287640794620027e+18,Sat Feb 15 19:32:40 +0000 2020,@paulafr68963440 Tree huggers are quickly removed in China where construction is approved!,Consumer4You,False,United Kingdom,161.0,0.0,0.0,0.0
