index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
1.0,1.2571530134010593e+18,Mon May 04 03:40:09 +0000 2020,India is ready to add https://t.co/BMhIyqKFJG #BREAKING   Worldwide coronavirus cases exceed 3.5 million: AFP tally   #CoronavirusOutbreak,suweidacks,False,,246.0,0.0,0.0,1.0
2.0,1.2571578236219924e+18,Mon May 04 03:59:16 +0000 2020,RT @TheDailyShow: The Daily Show Remembers: Donald Trump Saying Coronavirus Would Disappear in April https://t.co/J2yt5sS6Xz The Daily Show Remembers: Donald Trump Saying Coronavirus Would Disappear in April https://t.co/J2yt5sS6Xz,luckylion143,False,Bahawalpur Punjab Pakistan,186.0,0.0,1.0,0.0
4.0,1.2571477251219128e+18,Mon May 04 03:19:09 +0000 2020,RT @Balmain: Final call to enter the drawing on @NTWRKLIVE and get your pair of 'WONDER BOY' eyewear customised by Creative Director @ORous… Final call to enter the drawing on @NTWRKLIVE and get your pair of 'WONDER BOY' eyewear customised by Creative Dire… https://t.co/YX27Vqiop0,MaruHiroReiwa,False,,69.0,0.0,1.0,0.0
5.0,1.257153213859414e+18,Mon May 04 03:40:57 +0000 2020,【 碧の海 / Blue Sea 】 気分転換に聴いて頂けたら幸いです。他YouTubeにもあります。 Hope this can help to relax. Full &amp; more ⬇️… https://t.co/0Q44EBh6Pu,LoveGuitarPiano,False,,13.0,0.0,0.0,0.0
7.0,1.2571531230654874e+18,Mon May 04 03:40:35 +0000 2020,RT @Abhishe38741007: #LetsStaySafe Masks are your safety guards  wear one when you step outside. You can stay safe from Corona  by safety i… #LetsStaySafe Masks are your safety guards  wear one when you step outside. You can stay safe from Corona  by safet… https://t.co/GsAFemgmWi,vipan9780083773,False,Budhlada India,193.0,0.0,1.0,0.0
9.0,1.2571525011339182e+18,Mon May 04 03:38:07 +0000 2020,RT @Chris77744410: No one should trust the WHO.  The WHO backs communist China and helped them spread it silently.   The Who has no problem… No one should trust the WHO.  The WHO backs communist China and helped them spread it silently.   The Who has no pr… https://t.co/5nZLNjmb0I,DianaFry18,False,,7541.0,0.0,1.0,0.0
11.0,1.2571464708867523e+18,Mon May 04 03:14:09 +0000 2020,@SteveFromPhilly @AngrierWHStaff Right. Sorry. Didn’t mean it during work for other things... just not covid-19,VivianActivist,False,Brooklyn NY,4670.0,0.0,0.0,0.0
12.0,1.2571533447134372e+18,Mon May 04 03:41:28 +0000 2020,RT @atheist_in_nc: Donations to coronavirus research https://t.co/uuZJKLrL26 Donations to coronavirus research https://t.co/uuZJKLrL26,danielt10439873,False,Ohio USA,2987.0,0.0,1.0,0.0
14.0,1.2571528911328502e+18,Mon May 04 03:39:40 +0000 2020,Mike Pompeo Says There’s ‘Enormous Evidence’ That Coronavirus Came From Wuhan Lab https://t.co/ZD83LfmYer via @dailycaller,ParamjitGarewal,False,universe,30594.0,0.0,0.0,0.0
15.0,1.2571472091260436e+18,Mon May 04 03:17:05 +0000 2020,RT @SteveHiltonx: thank you for joining us tonight Governor...oops I mean  Senator!   appreciate you taking that as a compliment - sincerel… thank you for joining us tonight Governor...oops I mean  Senator!   appreciate you taking that as a compliment - si… https://t.co/8yT9eVbBMD,Flyfishinmary,False,,1323.0,0.0,1.0,0.0
16.0,1.257146961305768e+18,Mon May 04 03:16:06 +0000 2020,@Abulinixish @MarcusP62428099 @mcandrus @jsolomonReports Did you actually read the CDC link?  Lookd at the graph an… https://t.co/4snb1qxM6Z,nebre8ed,False,Atlanta GA,26.0,0.0,0.0,0.0
17.0,1.257157958032638e+18,Mon May 04 03:59:48 +0000 2020,When people are afraid to correct you  be very careful. It may be a sign for your end. Be open to CORRECTION..  #COVIDー19  #staysafe,FreeGates52,False,,29.0,0.0,0.0,0.0
18.0,1.257147087885607e+18,Mon May 04 03:16:37 +0000 2020,RT @CaliRN619: #PerspectiveAnyone  Even if the covid numbers quadruple  was it worth ruining our economy?  I don't think so and I've been o… #PerspectiveAnyone  Even if the covid numbers quadruple  was it worth ruining our economy?  I don't think so and I'… https://t.co/IE7tiyJHiv,The_MAP_4_U,False,,6789.0,0.0,1.0,0.0
19.0,1.2571532183978148e+18,Mon May 04 03:40:58 +0000 2020,RT @FinancialTimes: Donald Trump said the US coronavirus death toll could reach 100 000  Japan is set to extend its state of emergency and… Donald Trump said the US coronavirus death toll could reach 100 000  Japan is set to extend its state of emergency… https://t.co/4OCyWRUgHj,javz1977,False,Medellín Colombia,886.0,0.0,1.0,0.0
20.0,1.2571579511959224e+18,Mon May 04 03:59:47 +0000 2020,RT @mazzenilsson: 8.) The first phase of the project began in Wuhan in 2014 and ended in 2019. All the money came from the US government.… 8.) The first phase of the project began in Wuhan in 2014 and ended in 2019. All the money came from the US governm… https://t.co/qozKAUJGX5,SsanceNetwork,False,Washington DC,162.0,0.0,1.0,0.0
21.0,1.2571471787468104e+18,Mon May 04 03:16:58 +0000 2020,1. Not "covid"- CHINESE FLU. 2. They are dirty socialist agitprop department. What did you expect of this slime ? https://t.co/BPRZ9TrgaQ New York has roughly 30% of all covid19 deaths. If a Republican governor had those death rates  they would be getti… https://t.co/oFmKXhWWLN,gary00000007,False,New York - will leave !,1223.0,0.0,0.0,1.0
22.0,1.2571467468214682e+18,Mon May 04 03:15:15 +0000 2020,RT @benyt: This is such an important story. Can this old-school Washington game of big claims and written-to-be-leaked documents actually w… This is such an important story. Can this old-school Washington game of big claims and written-to-be-leaked documen… https://t.co/Z3aMnNdqpn,brettashtonsj,False,San Jose CA,994.0,0.0,1.0,0.0
23.0,1.257152064523694e+18,Mon May 04 03:36:23 +0000 2020,RT @upsystem: UP Diliman will start planting 22 000 sunflower seeds on University Avenue today—a hopeful sign that despite these uncertain… UP Diliman will start planting 22 000 sunflower seeds on University Avenue today—a hopeful sign that despite these… https://t.co/4PYqdR6RO0,remaltomea,False,Caloocan City,1581.0,0.0,1.0,0.0
25.0,1.2571528669277225e+18,Mon May 04 03:39:34 +0000 2020,If you think you have it bad just consider the plight of East Africa ... biblical size scourge of locusts ... heavy… https://t.co/k7V2rCkNm0,AlexanderTracz1,False,,0.0,0.0,0.0,0.0
29.0,1.2571577781471805e+18,Mon May 04 03:59:05 +0000 2020,RT @moneywisecom: Yikes! People aren't happy with these brands during COVID-19... Yikes! People aren't happy with these brands during COVID-19...,Aklers,False,Washington USA,14828.0,0.0,1.0,0.0
30.0,1.2571525435593482e+18,Mon May 04 03:38:17 +0000 2020,RT @realDonaldTrump: Intelligence has just reported to me that I was correct  and that they did NOT bring up the CoronaVirus subject matter… Intelligence has just reported to me that I was correct  and that they did NOT bring up the CoronaVirus subject mat… https://t.co/ZayH9A0ox4,WONGKEENY,False,香港,3044.0,0.0,1.0,0.0
31.0,1.2571475702220186e+18,Mon May 04 03:18:32 +0000 2020,RT @business: “I can tell you that there is a significant amount of evidence that this came from that laboratory in Wuhan ” U.S. Secretary… “I can tell you that there is a significant amount of evidence that this came from that laboratory in Wuhan ” U.S.… https://t.co/uLVHundL1S,KyleRogerson,False,Seattle WA,187.0,0.0,1.0,0.0
32.0,1.2571475018884096e+18,Mon May 04 03:18:15 +0000 2020,RT @muccofficial: YouTube『Remote Super Live〜Fight against COVID-19〜』期間限定配信決定  バンド結成記念日となる本日より リモート演奏ライヴ映像や、2019/12/28「Trigger In The Box」より… YouTube『Remote Super Live〜Fight against COVID-19〜』期間限定配信決定  バンド結成記念日となる本日より リモート演奏ライヴ映像や、2019/12/28「Trigger In The… https://t.co/rjHchDukZt,lost_alice_xxx,False,,46.0,0.0,1.0,0.0
33.0,1.2571476527325307e+18,Mon May 04 03:18:51 +0000 2020,India Inc. welcomes resumption of economic activity in lockdown 3.0 https://t.co/eg4DFEXxFz  via NaMo App https://t.co/xN1P5I5Vvz,bhartendu_del,True,Bihar India,1927.0,0.0,0.0,0.0
34.0,1.2571532280152023e+18,Mon May 04 03:41:00 +0000 2020,@WsCKCecQPSzPk0k Evil CCP launch of bio weapon against civilians of the USA &amp; the world is far worse than anything… https://t.co/HtLHK8jXv4,NormanDeArmond,False,Palm Springs Calif,12392.0,0.0,0.0,0.0
35.0,1.257147134685651e+18,Mon May 04 03:16:48 +0000 2020,RT @realDonaldTrump: Intelligence has just reported to me that I was correct  and that they did NOT bring up the CoronaVirus subject matter… Intelligence has just reported to me that I was correct  and that they did NOT bring up the CoronaVirus subject mat… https://t.co/ZayH9A0ox4,dustmagnet2017,False,Minnesota,141.0,0.0,1.0,0.0
36.0,1.2571470791906468e+18,Mon May 04 03:16:34 +0000 2020,RT @SallyQYates: In midst of a pandemic where thousands of Americans have died and millions are suffering  only our current president would… In midst of a pandemic where thousands of Americans have died and millions are suffering  only our current presiden… https://t.co/pKwbjniXFn,politeperson123,False,,605.0,0.0,1.0,0.0
37.0,1.257146424942383e+18,Mon May 04 03:13:59 +0000 2020,https://t.co/K3Usia5cb5  News For Us Coronavirus Update: Black Leaders Urge African-Americans to Continue to Stay H… https://t.co/WXtwAVnK57,MySoulRadio,False,WorldWide Baby,3586.0,0.0,0.0,0.0
39.0,1.2571468020311286e+18,Mon May 04 03:15:28 +0000 2020,RT @iamsrk: Extremely grateful to #IforIndia  @Its_Badshah &amp; @cacklerraj for music  lyrics &amp; for working overnight. Thanks Sunil for the ed… Extremely grateful to #IforIndia  @Its_Badshah &amp; @cacklerraj for music  lyrics &amp; for working overnight. Thanks Suni… https://t.co/Sr6vrr3JN2,RkshitArora,False,Jaipur India,450.0,0.0,1.0,0.0
40.0,1.2571527126486016e+18,Mon May 04 03:38:58 +0000 2020,RT @TimesNow: Delhi records biggest single-day jump in COVID-19 cases; 427 new cases reported in 24 hours  total tally 4549.  https://t.co/… Delhi records biggest single-day jump in COVID-19 cases; 427 new cases reported in 24 hours  total tally 4549.  https://t.co/yv7J0oFSnf,jaini_63,False,Pune India,54.0,0.0,1.0,0.0
41.0,1.2571524022615532e+18,Mon May 04 03:37:44 +0000 2020,RT @catturd2: WATCH: California Police Officers At Anti-Lockdown Protest Appear To STAND DOWN After Marine Vet With Megaphone Challenges Th… WATCH: California Police Officers At Anti-Lockdown Protest Appear To STAND DOWN After Marine Vet With Megaphone Cha… https://t.co/gSWnppRui3,crutdress,False,California USA,1387.0,0.0,1.0,0.0
42.0,1.2571531853088317e+18,Mon May 04 03:40:50 +0000 2020,RT @realDonaldTrump: Intelligence has just reported to me that I was correct  and that they did NOT bring up the CoronaVirus subject matter… Intelligence has just reported to me that I was correct  and that they did NOT bring up the CoronaVirus subject mat… https://t.co/ZayH9A0ox4,HehePrejudice,False,,22.0,0.0,1.0,0.0
43.0,1.2571521497520701e+18,Mon May 04 03:36:43 +0000 2020,COVID-19: Tinubu urges reduction of interest rates https://t.co/gZEvHYc8mk https://t.co/IM4z6lMsdP,Newsvergeonline,False,Lagos Nigeria,1268.0,0.0,0.0,0.0
