1.0,dread,god,bless,lounge
2.0,new,evidence,cover,knew,lethal,clearly,contagious,new,evidence,cover,knew,lethal,clearly,contagious
3.0,difference,chancellor,scientist,chief,staff,shaped,response,difference,chancellor,scientist,chief,staff,shaped
4.0,new,joe,trump,covid,response,new,joe,trump,covid,response
8.0,grant,available,jordan,morocco,work,grant,available,jordan,morocco
9.0,protest,ahead,pandemic,expect,protest,ahead,pandemic,expect
10.0,outreach,work,outbreak,pellagra,thanks,foo,outreach,work,outbreak,pellagra,thanks
13.0,black,police,brutality,matter,black,covid,matter,black,police,brutality,matter,black,covid,matter
14.0,wear,mask,work,chemotherapy,protect
15.0,gone,gone
16.0,instead,shutting,international,corona,instead,shutting,international,corona
17.0,believe,city,went,way,ready,everybody
20.0,god,forbid,second,spike,government,provide,clarity,leadership,god,forbid,second,spike,government,provide,clarity,leadership
24.0,real,real
29.0,successful,businesswoman,main,reference,successful,businesswoman,main,reference
31.0,marine,drive,morning,social,rip,like,marine,drive,morning,social,rip,like
32.0,far,trump
33.0,covid,safe,personal,march,cooper,head,sign,seen,covid,safe,personal,march,cooper,head,sign
34.0,photo,straight,men,gay,men,photo,straight,men,gay,men
36.0,openly,breaking,openly,breaking
38.0,hide,crisis,management,obviously,generally,lie,arse,hope,tennis,house,hour,power,long,actually
39.0,continuously,demanding,fee,waiver,promotion,year,avoid,related,trouble,continuously,demanding,fee,waiver,promotion,year,avoid
41.0,country,opening,time,single,day,country,opening,time,single,day
43.0,fiction,real,life,president,fiction,real,life,president
45.0,consider,people,follow,follow,die,covid,consider,people,follow,follow,die
46.0,people,expect,superhuman,wages,people,expect,superhuman,wages
47.0,safe,commute,pandemic,wipe,handle,bar
48.0,army,stay,home,stay,save
49.0,south,low,traffic,covid,transport,action,plan,south,low,traffic,covid,transport,action
50.0,brazil,worst,hit,city
51.0,monstrous,wife,live
54.0,approach,pandemic,old,young,worked,approach,pandemic,old,young,worked
55.0,clear,new,covid,day,days,add,clear,new,covid,day,days
56.0,tally,new,district,active,tally,new,district
58.0,vanishingly,small,day,little,vanishingly,small,day
59.0,define,relationship,covid
61.0,breaking,covid,rising,covid,warrior,treatment,kin,sent,breaking,covid,rising,covid,warrior,treatment,kin
64.0,professor,sage,advisory,group,professor,sage,advisory,group
65.0,today,new,corona,virus
66.0,chest,feeling,compressed,like,vice,chest,feeling,compressed,like,vice
71.0,reduced,wide,alert,level,advice,joint
73.0,massive,percentage,black,black
74.0,year,old,boy,wooden,hand,washing,machine,limit,spread,covid,received,presidential,award,year,old,boy,wooden,hand,washing,machine,limit,spread,covid,received,president
75.0,home,assume,stay,home,drink,home,sleep,home
76.0,peace,mind,protection,staff,clean,oven,new,steri,shield,anti
77.0,country,number,break,everyday,easing,rationale,country,number,break,everyday,easing
82.0,know,family,got,infected,know,family,got,infected
84.0,guilty,according,know,greatly,reduced,league,glamour
87.0,given,covid,clearly,remove,fun,running,virtual,given,covid,clearly,remove,fun,running
89.0,smart
90.0,believe,stupid,home,believe,stupid,home
91.0,badge,breach,political,protest,fine
93.0,shield,watch,important,message,chief,medical,officer,frank,shield,watch,important,message,chief,medical,officer,frank
94.0,like,patel,role,change,like,patel,role,chang
95.0,incredible,government,right,time,incredible,government,right,time
97.0,alert,country,covid,alert,country,covid
98.0,know,scientifically,quick,identification,contact,tracing,quarantine,way
99.0,today,use,covid,day,today,use,covid,day
100.0,turns,poet,beautiful,poem,poor
101.0,petition,moment,sign,petition,moment,sign
103.0,prob,train,happen
104.0,blame,covid,instead,like,blame,covid,instead,like
105.0,doubt,health,sector,severe,media,instead,providing,meaningful,doubt,health,sector,severe,media,instead,providing,meaningful
106.0,god,forbid,second,spike,government,provide,clarity,leadership,god,forbid,second,spike,government,provide,clarity,leadership
107.0,farce,genocide,genocide,policy,genocide,suspected,government,murder,push,avenue
108.0,according,actor,selfless,work,naming,praising,political,party,according,actor,selfless,work,naming,praising,political
109.0,farm,fork,invite,join,action,ensure,safe,grow,safe,farm,fork,invite,join,action,ensure,safe
110.0,like,environment,healing,like,environment,healing
111.0,mother,health,care,worker,tested,positive,isolated
112.0,contracted,global,continued,devastate,demand,sharper,contracted,global,continued,devastate,demand,sharper
113.0,vaccine,people,covid,rest,life,walk,vaccine,people,covid,rest,life,walk
114.0,course,going,fault,second,wave,covid,comes
115.0,police,local,council,fro,walk,meet,police,local,council,fro,walk,meet
117.0,successful,businesswoman,main,reference,successful,businesswoman,main,reference
118.0,mind,break,quarantine,work,feed,mind,break,quarantine,work,feed
120.0,wearing,wearing
121.0,shout,protest,amid,new,road,shout,protest,amid
123.0,clear,new,covid,day,days,add,clear,new,covid,day,days
125.0,blame,covid,instead,like,blame,covid,instead,like
127.0,office,sealed,tested,positive,staffer,covid
130.0,line,big,spike,lack,testing,contact,tracing,weak,president,line,big,spike,lack,testing,contact,tracing,weak
132.0,old,sultan,shaikh,needs,help,recover,covid
133.0,android,covid
134.0,resilient,bunch,ready,practical,professional,affordable
135.0,according,actor,selfless,work,naming,praising,political,party,according,actor,selfless,work,naming,praising,political
136.0,need,working,need,working
137.0,lost,result,breaking,social,people,car,lost,result,breaking,social,people
138.0,sage,member,wish,gone,think,cost,lot,unfortunately,sage,member,wish,gone,think,cost,lot,unfortunately
140.0,rate,northwest,taken
141.0,school,crisis,stick,strict,dress
143.0,weird,watching,commercial,like,dealing,heartbreaking,time,weird,watching,commercial,like,dealing,heartbreaking,time
144.0,clear,major,reason,black,bear,brunt,pandemic,long,standing,health,clear,major,reason,black,bear,brunt,pandemic,long,standing
145.0,mass,promotion,state,matter,government,mass,promotion,state,matter,government
146.0,people,control,covid,virus
147.0,corona,virus,choose
148.0,thanks,covid,strategy,world,total,world,active,thanks,covid,strategy,world,total,world,active
149.0,said,start,manage,work,troll,center,said,start,manage,work,troll,center,endanger
153.0,believe,city,went,way,ready,everybody,believe,city,went,way,ready,everybody
154.0,daily,self,million,symptom,tracker,mobile,march,daily,self,million,symptom,tracker,mobile,march
156.0,fight,safe,safe,diagnostics,treatment,fight,safe,safe,diagnostics,treatment
