2.0,corona,virus,government
3.0,vice,president,mike,pence,adopt,explanation,rise,testing,reason,vice,president,mike,pence,adopt,explanation,rise,testing
5.0,think,covid,real,think,covid,real
6.0,said,close,said,close
7.0,willing,kill,undermine,election,willing,kill,undermine,election
8.0,view,despite,criticism,handling,migrant,crisis,prime,minister,remains,deeply,view,despite,criticism,handling,migrant,crisis,prime,minister,remains
9.0,help,family,citizen,disabled,help
10.0,worse,worse,pence,push,distorted,role,worse,worse,pence,push,distorted,role
11.0,covid,worst,disease,process,worked,nurse,covid,worst,disease,process,worked,nurse,recover
13.0,green,energy,acceleration,post,covid,world,green,energy,acceleration,post,covid,world
14.0,chirping,getting,difficult,seriously,far,bogus,model,chirping,getting,difficult,seriously,far,bogus,mode
15.0,time,fired,data,scientist,covid,site,state,important,information,fired,data,scientist,covid,site,state,important,inform
18.0,report,money,abusive,midst,pan,report,money,abusive,midst
19.0,corona,dirty,bitch,corona,dirty,bitch
22.0,think,covid,real,think,covid,real
23.0,lots,help,vulnerable,time,pandemic,county,lots,help,vulnerable,time,pandemic,county
24.0,stop,times,challenge,stop,times,challenge
28.0,said,close,said,close
30.0,die,elderly,rest,gave,die,elderly,rest
32.0,dear,covid,pandemic,gather,check,led,support,program,paragon,dear,covid,pandemic,gather,check,led,support,program
33.0,urgent,legislation,today,people,united,kingdom,illegal,urgent,legislation,today,people,united,kingdom,illegal
35.0,join,conversation,rebuild,economy,amid,covid,crisis,join,conversation,rebuild,economy,amid,covid,crisis
37.0,ill,corona,murder,ill,corona,murder
38.0,inch,lost,china,inch,mute,attack,inch,die,inch,lost,china,inch,mute,attack,inch
41.0,good,care,home,isolation,safe,spread,covid,immunity,good,care,home,isolation,safe,spread,covid
43.0,apocalyptic,trumpet,bill,money,trying,buy,soul,buy,apocalyptic,trumpet,bill,money,trying,buy,soul,buy
45.0,said,close,said,close
48.0,surgeon,general,face,promote,freedom,wear,freedom,surgeon,general,face,promote,freedom,wear,freedom
50.0,minority,attend,covid,trump,rally,minority,attend,covid,trump
52.0,actually,recycle,clothes,sent,garment,actually,recycle,clothes,sent,garment
