0.0,directly,jail,directly,jail
1.0,friend,pop,bubble,wrap,remember,air,china,friend,pop,bubble,wrap,remember,air,china
2.0,breaking,death,toll,breaking,death,toll
3.0,unethical,infamous,animal,tormentor,previously,unethical,infamous,animal,tormentor
4.0,handed,worry,nasty,spreading,handed,worry,nasty,spreading
6.0,latest,outbreak,china,confirmed,mac,latest,outbreak,china,confirmed
7.0,seen,novel,find,need,know,seen,novel,find,need,know
8.0,tired,related,racism,people,inherently,tired,related,racism,people,inherently
9.0,feeling,impact,global,marketing,summit
10.0,communist,china
13.0,joining,dinner,shadow
14.0,ago,innocent,people,injured,shooter,style,weapon,high,scho,ago,innocent,people,injured,shooter,style,weapon
16.0,gross,sial,star,china,gross,sial,star,china
18.0,verge,blizzard,previously,overwatch,league,china,blizzard,previously,overwatch,league,china
20.0,yeah,want,elbow,grease,left,handed,screw,driver,guy,covered,yeah,want,elbow,grease,left,handed,screw,driver,guy,covered
25.0,localization,way,great,local,entrepreneur,starting,supply,cha,localization,way,great,local,entrepreneur,starting,supply
26.0,trump,joke,blow,fake,china,trade,deal,senior,delegation,fly,week,pressure,ahead,trade
28.0,update,suspected,update,suspected
29.0,second,citizen,journalist,tighten,control,information,second,citizen,journalist,tighten,control,information
30.0,foreign,minister,security,conference,met,separately,foreign,minister,security,conference,met,separate
31.0,spread,china,freedom,health,millions,innocent,spread,china,freedom,health,millions,innocent
34.0,bit,utter,like,idea,recently,sent,bit,utter,like,idea,recently,sent
36.0,latest,news,scare,passenger,ill,flight,san
37.0,state,run,china,media,new,video,streaming,platform,mission,state,run,china,media,new,video,streaming,platform
39.0,maria,door,quit,dealing
41.0,doctor,strange,virus,hospital,forced,police,stop,doctor,strange,virus,hospital,forced,police,stop
43.0,user,user
44.0,number,child,hospitalization,rate,highest,seen,point
47.0,gain,high,ground,consumer,spending,drag,right,gain,high,ground,consumer,spending,drag,right
48.0,father,school,shooting,victim,people,die,world,father,school,shooting,victim,people,die,world
50.0,outbreak,outbreak
51.0,cruise,ship,evacuate,home,cruise,ship,evacuate,home
54.0,best,exchange,day,best,exchange,day
55.0,update,case,confirmed,said,person,update,case,confirmed,said,person
56.0,vaccinate,wash,home,listen,health,advice,vaccinate,wash,home,listen,health,advice
59.0,breaking,death,toll,breaking,death,toll
60.0,drug,firm,water,tanker,spray,liquid,waste,streets,south,china,morning,post
61.0,funny,like,way,people,got,corona,stay,mad,healthy,funny,like,way,people,got,corona,stay,mad,healthy
62.0,health,primary,concern,continue,monitor,upcoming,travel,relative,novel,health,primary,concern,continue,monitor,upcoming,travel,relative,novel
63.0,citizen,fang,bin,unfiltered,citizen,fang,bin,unfiltered
64.0,china,japan,south,china,japan,south
66.0,covid,case
68.0,cover
69.0,covid,diagnoses,covid,diagnoses
70.0,coming,island,free,shining,raw,happiness,quarantine
74.0,selling,liquid,allegedly,selling,liquid,allegedly,cor
78.0,time,break,free,dependence,china,drug,time,break,free,dependence,china,drug
79.0,china,losing,control,outbreak,china,losing,control,outbreak
80.0,live,surge,china,medical,infected,post,live,surge,china,medical,infected,post
81.0,addition,new,number,people,critical,condition,province,risen,addition,new,number,people,critical,condition,province,risen
82.0,propaganda,blame,propaganda,blame
