1.0,use,mask,use,mask
2.0,government,slowly,red,outrightly,saying,know,government,slowly,red,outrightly,saying
8.0,death
9.0,protective,nurse,para,protective,nurse,para
10.0,beginning,crisis,tested,positive,disease,beginning,crisis,tested,positive,disease
12.0,breaking,new,past,breaking,new,past
15.0,shah,personnel,goa,enforce
16.0,social,outside,house,days,social,outside,house,days
18.0,unemployment,astronomically,high
20.0,optimism,bitter,truth,needs,better,banking,optimism,bitter,truth,needs,better,banking
21.0,want,open,network,pushing,trump,administration,reopen,country,economy,middle
23.0,doctor,worked,hospital,went,public,spread,covid,doctor,worked,hospital,went,public,spread
24.0,needs,million,million,personal,protection,equipment,reality,check,needs,million,million,personal,protection,equipment,reality,check
25.0,south,south
27.0,think,lift,testing,information,nope,think,lift,testing,information,nope
28.0,garner,respect,like,fight,urgent,emergency,resource
29.0,bus,stand,bus,stand
30.0,fact,china,honest,severity,scope,virus,start
31.0,stormy,trump,told,people,signature,appear,direct,payment
32.0,dah,block,saya,saya,hope,family,sir,face,covid,dah,block,saya,saya,hope,family,sir,face,covid
33.0,grandfather,covid,family,thank,grandfather,covid,family,thank
37.0,youth,selflessly,serving,free,food,destitute,daily,jobless,battle,youth,selflessly,serving,free,food,destitute,daily,jobless,battle
39.0,supposed,supposed
42.0,free,social,free,social
44.0,huge,thanks,apple,white,house,apple,screening,tool,huge,thanks,apple,white,house,apple,screening,tool
46.0,list,actor,trump,infected,virus,list,actor,trump,infected,virus
47.0,day,wishing,peaceful,weekend,love,day,wishing,peaceful,weekend,love
49.0,daily,artisan,independent,providing,daily,artisan,independent,providing
50.0,shout,deserved,homer,award,recognition,living,thank,shout,deserved,homer,award,recognition,living
51.0,angry,pic,road,place,like,place,angry,pic,road,place,like,place
53.0,tell,real,tell,real
54.0,found,away,happening,subway,yesterday,found,away,happening,subway
56.0,instead,threatening,middle,health,emergency,hand,expand,instead,threatening,middle,health,emergency,hand
57.0,good,important,sure,people,normal
60.0,picture,thousand,picture,thousand
61.0,long,trump,blame,dangerous,corrupt,media,crisis
63.0,apply,weekend,save,encourage,people
67.0,doctor,fired,middle,pandemic,speaking,doctor,fired,middle,pandemic,speaking
69.0,white,biggest,crises,white,biggest,crises
71.0,michigan,man,near,death,experience,saved,treatment,liber,michigan,man,near,death,experience,saved,treatment
72.0,thing,end,corona,virus,thing,end,corona,virus
73.0,abandon,guilty,covid,abandon,guilty,covid
75.0,thanks,song,beat,today,getting,blood,great,music,beat,character,rat,city
77.0,fault,hard,fault,hard
80.0,think,people,understand,happen,stay,home,save,think,people,understand,happen,stay,home,save
81.0,people,coming,abroad,specially,need,responsible,people,coming,abroad,specially,need
82.0,combined,wealth,billion,family,worth,median,wealth,combined,wealth,billion,family,worth,median,wealth
83.0,continue,broadcast,great,music,chat,like,company,morning,continue,broadcast,great,music,chat,like,company,morn
85.0,government,responsible,economic
91.0,wrong,people,group,staff
94.0,looking,man,age,nickname,occupation
95.0,favorable,direction,wondering,spoken,favorable,direction,wondering,spoken
96.0,interesting,honest,know,right,wrong,unfamiliar,field,interesting,honest,know,right,wrong,unfamiliar,field
98.0,global,opportunity,build,drive,social,impact,global,opportunity,build,drive,social
100.0,lift,normality,return,lift,normality,return
101.0,vacation,new,york,month,vacation,new,york,month
105.0,long,article,policy,maker,read,seeing,multiple,possible,future,long,article,policy,maker,read,seeing,multiple,possible
106.0,great,example,serve,thank,mike,great,example,serve,thank,mike
107.0,fault,bought
108.0,life,hate,taking
110.0,media,doctor,fear,monger,contradictory,report,hop,media,doctor,fear,monger,contradictory,report
111.0,sure,trump,stellar,job,huge,republican,rich,retirement,community,community,spread
112.0,fact,operate,home,needs,virus,come,fact,operate,home,needs,virus,come
113.0,virus,hope,infected,quickly,include
114.0,local,hospital,sent,staff,stop,posting,social,media,local,hospital,sent,staff,stop,posting,social,media
117.0,military,aid,foreign,ally,governor,said,ill,military,aid,foreign,ally,governor,said,ill
118.0,fill,support,fill,support
122.0,hey,leadership,test,time
123.0,new,team,university,north,chapel,hill,help,new,team,university,north,chapel,hill,help
124.0,undoubtedly,actual,china,lying,diagnoses,undoubtedly,actual,china,lying,diagnoses
125.0,spoke,production,new,film,spoke,production,new,film
126.0,myron,left,attend,medical,school,neurosurgery,resident,myron,left,attend,medical,school,neurosurgery
129.0,like,comply,social,like,comply,social
131.0,new,queue,outside,hospital,battle,new,queue,outside,hospital,battle
132.0,like,generational,war,cruel,psychotic,old,daft,thoughtless,young,like,generational,war,cruel,psychotic,old,daft,thoughtless,young
133.0,gradually,bring,people,sick,gradually,bring,people,sick
134.0,fact,right,warn,pandemic,wonder,right,global,warming
138.0,happening,miss,happening,miss
142.0,job,test,positive,marijuana
143.0,think,add,essential,employee,pandemic,resume,think,add,essential,employee,pandemic,resume
144.0,covid,good,grief
146.0,working,covid,shown,follow,strict,work,calm,working,covid,shown,follow,strict,work
147.0,emulate,man,breaking,patrice,donate,billion,fight,covid,south
149.0,demand,stretch
150.0,minute,rapid,test,positive,little,negative,minute,rapid,test,positive,little
153.0,march,local,time,governor,new,york,state,completion,temporary,hospital
154.0,statement,act,legal,effect,bluster,trump,statement,act,legal,effect,bluster,trump
155.0,outstanding,thread,legally,response,covid,outstanding,thread,legally,response,covid
157.0,corona,pork,egg,tofu,soup,fried,pork,corona,mask,corona,pork,egg,tofu,soup,fried,pork,corona,mask
160.0,graphic,science,main,testing,current,outbreak,graphic,science,main,testing,current,outbreak
162.0,fake,news,fake,news
165.0,half,low,eligible,free,school,said,received,half,low,eligible,free,school,said,received,sub
166.0,breaking,shadow,task,force,multiple,private,breaking,shadow,task,force,multiple,private
167.0,nurse,couple,saved,disaster,nurse,couple,saved,disaster
168.0,possible,believe,government,deeply,negligent,early,approach
169.0,china,banning,entry,country,let,marinate,moment,wonder,china,banning,entry,country,let,marinate,moment
172.0,brilliant,intended,brilliant,intended
175.0,hello,sir,mere,help,police,bahar,kaha,hello,sir,mere,help,police,bahar
178.0,federal,health,test,provide,federal,health,test,provide
180.0,bit,bit
181.0,family,wife,tested,positive,family,wife,tested,positive
182.0,disgusting,price,raising,disgusting,price,raising
183.0,people,life,expressed,desire,donate,war,covid,respecting,spirit,people,life,expressed,desire,donate,war,covid,respecting
185.0,combined,net,worth,equivalent,making,giving,combined,net,worth,equivalent,making,giving
186.0,surfacing,enforcement,disturbing,video,senior,police,surfacing,enforcement,disturbing,video,senior,pol
191.0,reason,believe,cold,weather,kill,new,disease,reason,believe,cold,weather,kill,new
192.0,ago,wrote,story,case,like,ago,ago,wrote,story,case,like,ago
193.0,combined,net,worth,equivalent,making,giving,combined,net,worth,equivalent,making,giving
194.0,innocent,president,nerve,innocent,president,nerve
195.0,summer,end,covid,second,wave,year
197.0,sanders,literally,reason,able,file,unemployment,pandemic,sanders,literally,reason,able,file,unemployment,pandemic
198.0,tenet,visual,facilitate,communication,better,tenet,visual,facilitate,communication,better
199.0,fascinating,city,city,data,flu,pandemic,social,effective,relaxed,soc,fascinating,city,city,data,flu,pandemic,social,effective,relaxed
202.0,thank,great,family,time,missing,bangkok,thank,great,family,time,missing,bangkok
205.0,disingenuous,pretty,clear
206.0,money,truth,know,gone,eat,goes,money,truth,know,gone,eat,goes
207.0,south,billionaire,businessman,patrice,said,group,donate,billion,ran,south,billionaire,businessman,patrice,said,group,donate
208.0,yeah,getting,today,president,law,help,small,stay,open
210.0,quint,engineer,doctor,fake,news,saying,middle,community,quint,engineer,doctor,fake,news,saying,middle,community
213.0,differently,sir,marmot,told,event,differently,sir,marmot,told,event
214.0,taken,toll,refer,mental,doctor,immediately,col
216.0,weird,neo,tried,blow,hospital,filled,like,ago,ended,dying,weird,neo,tried,blow,hospital,filled,like,ago,ended
220.0,remains,siege,bombed,night,harder,manage,remains,siege,bombed,night,harder,manage
224.0,actor,contribution,crore,film,lost,daily,wages,actor,contribution,crore,film,lost,daily,wages
226.0,football,season,virtual,penalty,decide
227.0,dey,debit,corona
228.0,good,news,concur,millions,affected,good,news,concur,millions,affect
229.0,believe,like,covid,destroy,president,trump,plan,president,believe,like,covid,destroy,president,trump,plan
230.0,thing,imagine,china,produce,don
231.0,kim,multimillionaire,telling,audience,work,covid,purchase,kim,multimillionaire,telling,audience,work,covid
232.0,copied
233.0,clear,eyed,piece,president,pandemic,read,far,bookmark,probably,predict,clear,eyed,piece,president,pandemic,read,far,bookmark,probably
235.0,news,retired,police,jump,return,cop,news,retired,police,jump,return,cop,cop
236.0,following,alert,ministry,health,carried,suspected,following,alert,ministry,health,carried,suspected
238.0,older,sister,head,nurse,hospital,bad,piling,older,sister,head,nurse,hospital,bad,piling
239.0,find,reporter,article,china,global,leader,find,reporter,article,china,global,leader
240.0,need,said,home,stay,home
241.0,feeling,emotionally,exhausted,working,extra,week,schoolwork,hear,nonstop
245.0,relief,daily,wage,social,relief,daily,wage,social
246.0,breaking,news,chief,staff,application,travel,medical,care,breaking,news,chief,staff,application,travel,medical,care
247.0,picture,thousand,picture,thousand
251.0,laughing,refusal,provide,blue,wait,find,laughing,refusal,provide,blue,wait
252.0,communist,propaganda,lie,communist,propaganda,lie
255.0,pray,pray
257.0,number,treatment,time,south,number,treatment,time,south
258.0,president,minister,health,director,general,fig,president,minister,health,director,general
260.0,watch,video,watch,video
262.0,everybody,zoom,lot,longer
264.0,government,zero,day,quarantine,migrant,government,zero,day,quarantine,migrant
269.0,today,president,bragging,refusal,talk,ask,today,president,bragging,refusal,talk
270.0,good,news,immediate,impact,available,help,organization,serve,people,covid,pandemic
273.0,stated,transmissible,person,person,stated,transmissible,person,person
275.0,stay,home,help,save,food,medicine,work,absolutely,stay,home,help,save,food,medicine,work
276.0,manager,sending,new,update,like,know,chaotic,stressful,right,send,day,bitch,stressful
277.0,lot,corona,fly,new,world,lot,corona,fly,new,world
279.0,china,china
280.0,fault,inept,response,fault,inept,response
282.0,covid,crisis,face,race,group,covid,crisis,face,race,group
284.0,shopping,ahead,dangerous,social
285.0,year,old,woman,year,old,woman
288.0,funder,smiling,far,known,smiling,far,known
290.0,human,disaster,making,team,non
293.0,win,world,tour,extremely,high,finally,happening,win,world,tour,extremely,high,finally
295.0,global,survey,find,large
296.0,based,rising,number,advised,stay,home,stop,spread,covid,let,value,live,based,rising,number,advised,stay,home,stop,spread,covid,let,value
297.0,clinical,trial,covid,vaccine,scientist,magazine,clinical,trial,covid,vaccine,scientist,magazine
298.0,times,covid,half,number,testing,test,times,covid,half,number
299.0,critical,care,physician,told,tucker,taking,help,ward,covid,far,critical,care,physician,told,tucker,taking,help,ward,covid
301.0,criminal,investigation,manslaughter,murder,begin,malfeasance,criminal,investigation,manslaughter,murder,begin,malfeasance
302.0,release,crore,fund,central,relief,fund,support,fight,covid,release,crore,fund,central,relief,fund,support,fight
304.0,poor,fighting,covid,face,disaster,told,global,development,guardian
305.0,taken,far,order,contain,spread,infection,gave,valuable,taken,far,order,contain,spread,infection,gave,valuable,suggest
306.0,place,main,road
307.0,catch,going,second,walk,catch,going,second,walk
309.0,time,bit,help,defeat,fight,corona,time,bit,help,defeat,fight,corona
312.0,confirmed,rest,world,moment,people,hanging,wit,confirmed,rest,world,moment,people,hanging
313.0,surprise,join,learn,difference,fight,covid,surprise,join,learn,difference,fight,covid
315.0,protect,save,town,drone,warn,public,stay,home,protect,save,town,drone,warn,public,stay,home
318.0,link,evidence,alcohol,risk,acquisition,link,evidence,alcohol,risk
319.0,ani,fight,urgent,emergency,need,fight,urgent,emergency,resource
320.0,number,number
323.0,day,god,bless,getting,ready,outreach,support,donate,day,god,bless,getting,ready,outreach,support
325.0,picture,thousand,picture,thousand
328.0,breaking,new,past,breaking,new,past
329.0,wave,surely,coming,projection,morgan,inevitable,peak,infected,mid,wave,surely,coming,projection,morgan,inevitable,peak
335.0,breaking,solve,breaking
336.0,running,play,remix,kit,help,lots,silly,running,play,remix,kit,help,lots,silly,game
339.0,social,matter
340.0,worst,new,trend,political,conversation,virus,penetration,red,blue,anti,trump,worst,new,trend,political,conversation,virus,penetration,red,blue,ant
341.0,hubby,world,map,gave,dart,said,throw,taking,holiday,hubby,world,map,gave,dart,said,throw,taking
344.0,horse,racing,considered,essential,service,pandemic,day,horse,racing,considered,essential,service,pandemic,day
348.0,case,confirmed,confirmed
350.0,lie,cheat,scam
355.0,random,official,copy,pooped,duck,stay,home,cop,random,official,copy,pooped,duck,stay,home,cop
356.0,fully,understand,flour,demand,pandemic,eating,bread,stuck,home
358.0,need,lift,video,idea,need,lift,video
359.0,media,conference,education,minister,listen,media,conference,education,minister,listen
361.0,lost,dad,morning,covid,rock,best,friend,hero,virtually,lost,dad,morning,covid,rock,best,friend,hero,virtually
362.0,fake,doctor,unauthorized,university,peddle,prominent,news,fake,doctor,unauthorized,university,peddle,prominent,news
363.0,listen,covid,control,contagion,listen,covid,control,contagion
365.0,sending,help,fight,virus
366.0,bless,soon,recover,pandemic,bless,soon,recover,pandemic
368.0,important,study,nursing,home,outbreak,state,nearly,staff,important,study,nursing,home,outbreak,state,nearly
369.0,news,want,hear,true,flash,cabinet,donated,march,support,federal
370.0,happen,happen
