3.0,certainly,soon
4.0,new,soon,likely,tonight,exceed,month,mortality,count,new,soon,likely,tonight,exceed,month,mortality,count
5.0,ready,said,ready,said
6.0,recap,democrat,debate,racist,better,alive,national,security,war,recap,democrat,debate,racist,better,alive,national,security
7.0,proof,rarely,global,presidential,world
8.0,natural,selection,hell,week,natural,selection,hell,week
9.0,read
10.0,new,taxi,private,car,hire,new,taxi,private,car,hire
11.0,con,aire,con,aire
12.0,speaking,global,economy,look,ghost,speaking,global,economy,look
13.0,china,prim,china
14.0,happy,spring,lantern,festival,help,help,finish,happy,spring,lantern,festival,help,help
15.0,crude,steel,producer,japan,annual,steel,production,crude,steel,producer,japan,annual,steel,production
16.0,outbreak,casino,leaves,ill,outbreak,casino,leaves,ill
17.0,million,face,outbreak,million,hong,million,face,outbreak,million
18.0,white,house,investigate,white,house,investigate
19.0,encore,cest,cest,center,encore,cest,cest,center
20.0,entry,china
21.0,ready,said,ready,said
22.0,hello,men,virus,worst,corona,combined,town,zip,repeat,hello,men,virus,worst,corona,combined,town,zip
23.0,visa,list,tracker
24.0,prompt,foot,surgical,mask,mounted,cruise,ship,prompt,foot,surgical,mask,mounted,cruise,ship
25.0,china,return,work,china,return,work
28.0,embassy,staff,board,plane,citizen
29.0,people,page,debating,bubble,wrap,people,page,debating,bubble,wrap
30.0,hay,chi
31.0,recap,democrat,debate,racist,better,alive,national,security,war,recap,democrat,debate,racist,better,alive,national,security
32.0,science,journal,magnitude,pandemic,greater
33.0,virus,para,virus,para,gra
34.0,grave,virus,grave,virus
35.0,son
36.0,corona
37.0,man,spotted,city,start,new,military,build,man,spotted,city,start,new,military,build
38.0,possible,study,led,south,china,agricultural,university,found,possible,study,led,south,china,agricultural,university,found
40.0,banning,smoking,research,agenda,epidemic,research,banning,smoking,research,agenda,epidemic
41.0,ready,said,ready,said
42.0,chino,chino
43.0,con,china,las,mesa
44.0,honk,passe,rouge,honk,passe,rouge
45.0,bag,mean,bag,mean
46.0,bag,mean,bag,mean
47.0,china,para,china,para
48.0,racing,create,temporary,cope,surging,number,infected,racing,create,temporary,cope,surging,number,infected
