2.0,forced,quarantine,forced,quarantine
3.0,flooded,hospital,city,lined,seeing,according,flooded,hospital,city,lined,seeing,according
4.0,imagine,quickly,epidemic,spread,united,country,uninsured,imagine,quickly,epidemic,spread,united,country,uninsured
5.0,shutting,outbound,transportation,provincial,capital,city,unprecedented,china,shutting,outbound,transportation,provincial,capital,city,unprecedented,china
6.0,tested,city,tested,city
7.0,video,chat,group,dire,situation,overcrowded,concerned,sick,video,chat,group,dire,situation,overcrowded,concerned,sick
8.0,million,movie,reality,million,movie,reality
9.0,soon
10.0,bloody,price,eating,wild,price,list,shop,selling,wildlife,bloody,price,eating,wild,price,list,shop,selling
11.0,new,virus,end,people,new,virus,end,people
12.0,quarantine,stop,china,entering,common,sense,protect,quarantine,stop,china,entering,common,sense,protect
13.0,people,dead,china,infected,spread
14.0,million,movie,reality,million,movie,reality
15.0,live,press,conference,emergency,committee,meeting,new,live,press,conference,emergency,committee,meeting,new
16.0,journal,china,weekly,outbreak,report,early,outbreak,journal,china,weekly,outbreak,report,early,outbreak
17.0,source,outbreak,likely,wild,game,market,spread,person,source,outbreak,likely,wild,game,market,spread,person
18.0,envoy,responsible,insomnia,epidemic,rig,envoy,responsible,insomnia,epidemic
19.0,outbreak,reminder,people,limit,consumption,wild
20.0,entire,country,epidemic,area,communist,party,media,ask,slowly
21.0,remember,black,doctor,worked,flu,shot,actual,cause,influenza,remember,black,doctor,worked,flu,shot,actual,cause
22.0,pretty,scary,government,tried,hush,epidemic,help
23.0,know,communist,thinking,emergency,meeting,city,know,communist,thinking,emergency,meeting
24.0,look,pacific,aboard,flight,family,person,infected,look,pacific,aboard,flight,family,person,infected
25.0,flight,dragon,flight,land
26.0,overdue,cull,humanity,needs,try,contain,world,parkin
27.0,thing,twitter,exotic,thing,twitter,exotic,chine
28.0,international,health,emergency,committee,new,currently,international,health,emergency,committee,new
29.0,confirmed,novel,hong,confirmed,case,today,confirmed,novel,hong,confirmed,case,today
30.0,rise,important,china,transparent,critical,data,rise,important,china,transparent,critical
31.0,dear,trying,exterminate,human,race,chronically,ill,dear,trying,exterminate,human,race
32.0,millions,people,new,affected
33.0,utmost,respect,sir,appreciate,confidence,personally
34.0,tested,city,tested,city
35.0,trust,trump,handle,epidemic,trust,trump,handle,epidemic
36.0,worse,think,worse,think
37.0,video,chat,group,dire,situation,overcrowded,concerned,sick,video,chat,group,dire,situation,overcrowded,concerned,sick
38.0,like,wear,mask,like,wear,mask
39.0,press,release,central,confirmed,case
40.0,flooded,hospital,city,lined,seeing,according,flooded,hospital,city,lined,seeing,according
