2.0,outbreak,outbreak
3.0,people,flu,feel,stay,bed,people,feel,people,flu,feel,stay,bed,people,feel,wan
4.0,waiting,respond,refund,corona,consideration
6.0,duke,unwittingly,spreading
7.0,china,trolling
9.0,drive,testing,south,lower,risk,potential,drive,testing,south,lower,risk,potent
10.0,trump,china,voting,hubby,trump,china,voting,hubby
12.0,holy,colors,cow,dung,prevent,corona
13.0,black,woman,subway,different,person,wrote,garbage
14.0,covid,health,epidemiological,surveillance,preparedness,covid,health,epidemiological,surveillance,preparedness
17.0,sigh,good,insurance,pay,cough,shake,sent,chest,ray,sigh,good,insurance,pay,cough,shake,sent,chest
18.0,employee,tested,positive,employee,tested,positive,bright
19.0,renowned,director,national,institute,allergy,infectious,media,renowned,director,national,institute,allergy,infectious,media
20.0,new,south,new,new,death,taking,total,new,south,new,new,death,taking,total
21.0,direct,sincere,recent,relief,harshly,direct,sincere,recent,relief,harshly
22.0,ministry,health,public,extensive,case,ministry,health,public,extensive,case
23.0,important,festival,wake,decided,participate,important,festival,wake,decided,participate
25.0,breaking,minister,breaking,minister
26.0,world,advised,reduce,mass,avoid,spread,covid,novel,world,advised,reduce,mass,avoid,spread,covid,novel
27.0,people,flu,feel,stay,bed,people,feel,people,flu,feel,stay,bed,people,feel,wan
28.0,death,toll,state,week
29.0,spread,quickly,movie,spread,quickly,movie
30.0,breaking,world,health,said,mortality,rate,covid,globally,higher
31.0,colorado,calling,trump,purposefully,infected,democrat,colorado,calling,trump,purposefully,infected,democrat
32.0,effective,face,answer,protect,effective,face,answer,protect
33.0,dad,said,cure,corona,virus,told,home,clip,dad,said,cure,corona,virus,told,home,clip
34.0,breaking,minister,breaking,minister
35.0,joe,permanent,normal,trade,china,bill,led,loss,joe,permanent,normal,trade,china,bill,led,loss
36.0,world,advised,reduce,mass,avoid,spread,covid,novel,world,advised,reduce,mass,avoid,spread,covid,novel
38.0,screw,panic,shower,cleaning,buy,bidet
39.0,quarters,presidential,salary,fight,quarters,presidential,salary,fight
40.0,national,health,briefing,boring,national,health,briefing,boring,pic
42.0,days,left,apply,summer,school,digital,public,days,left,apply,summer,school,digital,public
44.0,pope,normal,flu,pope,normal,flu
45.0,shaken
46.0,new,system,detect,accuracy,new,system,detect,accuracy
47.0,face,need,hour,style,imagine,store
48.0,general,hospital,said,shook,wit,general,hospital,said,shook,han
49.0,fair,question,ask,lack,testing,gross,incompetence,administration,fair,question,ask,lack,testing,gross,incompetence
51.0,trump,cover,pay
52.0,covid,inevitable,point,look,bright,finally,soap,covid,inevitable,point,look,bright,finally,soap
53.0,great,decision,sir,sincerely,request,cancel,happening
54.0,people,flu,feel,stay,bed,people,feel,people,flu,feel,stay,bed,people,feel,wan
55.0,conservative,non,preparation,conservative,non,preparation
56.0,world,advised,reduce,mass,avoid,spread,covid,novel,world,advised,reduce,mass,avoid,spread,covid,novel
57.0,total,group,driver
58.0,days,ago,medical,staff,dedication,days,ago,medical,staff,dedication
60.0,unpopular,opinion,think,cover,create,hysteria,mask,going,world,unpopular,opinion,think,cover,create,hysteria,mask,going,world
61.0,point,yeah,expensive,hard,damn,corona,virus
62.0,rain,kim,tae,decided,reduce,rent,help,rain,kim,tae,decided,reduce,rent,help
64.0,view,surge,number,covid,world,particularly,northern,japan
65.0,people,flu,feel,stay,bed,people,feel,people,flu,feel,stay,bed,people,feel,wan
66.0,rise,rupee,fall,opening,strong,today,poi,rise,rupee,fall,opening,strong,today
67.0,couple,north,shore,self,isolated,soon,arrogant,couple,north,shore,self,isolated,soon,arrogant
69.0,people,world,wear,surgical,mask,million,people,wan,people,world,wear,surgical,mask,million,people
71.0,spread,quickly,movie,spread,quickly,movie
72.0,engineer,suspected,shortly,returned,working,north,rep,engineer,suspected,shortly,returned,working,north,kore
73.0,protect,stray,protect,stay,photo,world,map,showing,spread,protect,stray,protect,stay,photo,world,map,showing,spread
74.0,people,flu,feel,stay,bed,people,feel,people,flu,feel,stay,bed,people,feel,wan
77.0,global,downturn
78.0,able,travel,costa,note,tho,structured
79.0,anticipate,possibility,rapid,viral,spread,uniqueness,respiratory,pat,anticipate,possibility,rapid,viral,spread,uniqueness,respiratory
81.0,breaking,case,breaking,case
83.0,driver,service,discriminate,kind,sick,days,driver,service,discriminate,kind
84.0,world,advised,reduce,mass,avoid,spread,covid,novel,world,advised,reduce,mass,avoid,spread,covid,novel
85.0,spread,quickly,movie,spread,quickly,movie
86.0,dad,said,cure,corona,virus,told,home,clip,dad,said,cure,corona,virus,told,home,clip
87.0,temporarily,avoid,spread
88.0,link
89.0,boy,homeless,man,china,boy,homeless,man,china
90.0,let,know,defense,beta,vaccine,cor,let,know,defense,beta,vaccine
91.0,past,decade,like,prepared,past,decade,like,prepared
92.0,parliament,tested,positive,deputy,parliament,speaker,parliament,tested,positive,deputy,parliament,speaker
96.0,capacity,cope,prof,capacity,cope,prof,explain
97.0,councilwoman,tweet,wishing,trump,resignation,councilwoman,tweet,wishing,trump
98.0,important,festival,wake,decided,participate,important,festival,wake,decided,participate
99.0,wash,thing,washing,wash,thing,washing
100.0,hatred,ignorance,spread,faster,shameful
102.0,alert,facility,test,positive,alert,facility,test,positive
103.0,trump,salary,relief,golf,spend,millions,money
