2.0,stage,capitalism,stage,capitalism
5.0,authoritarianism,action,trump,election,campaign,told,lose,operating,authoritarianism,action,trump,election,campaign,told,lose,operating
8.0,party,leader,film,star,party,leader,film,star
10.0,legitimate,basis,whatsoever,trump,cease,desist,request,legitimate,basis,whatsoever,trump,cease,desist,request
13.0,official,number,world,surpassing,china,times,official,number,world,surpassing,china
15.0,dad
18.0,jihad,attack,praying,people,jihad,attack,praying,people
21.0,mask,nearly,respirator,sitting,government,warehouse,shi
22.0,potential,weapon,kill,tool,spread,hate,great,territory,explore,nonsense,conspiracy,far,potential,weapon,kill,tool,spread,hate,great,territory,explore,nonsense,conspiracy
24.0,today,world,ways,fight,covid,today,world,ways,fight,covid
25.0,white,stopped,trying,detonate,car,bomb,outside,hospital,white,stopped,trying,detonate,car,bomb,outside,hospital
26.0,trump,fire,pandemic,team,ago,trump,fire,pandemic,team,ago
28.0,bill,million,migration,refugee,assistance,outrage,fight,bill,million,migration,refugee,assistance,outrage,fig
29.0,trump,today,said,pandemic,demonstrably,untrue,example,trump,today,said,pandemic,demonstrably,untrue,example
33.0,man,going,beat,man,going,beat
36.0,china,planet,population,china,planet
37.0,chemotherapy,leave,house,threat,line,chemotherapy,leave,house,threat,line,sho
38.0,number,number,world,according,data,hop
39.0,united,working,tirelessly,defeat,home,abroad,corner,world,united,working,tirelessly,defeat,home,abroad,corner,world
40.0,wall,wall,look,covid,act,nearly,mar,wall,wall,look,covid,act,nearly,mar
41.0,nut,corona,said,masturbation,march,nut,corona,said,masturbation,march
42.0,best,pickup,covid,days,best,pickup,covid,days
43.0,actually,price,tag,life,worth,know,actually,price,tag,life,worth,know
45.0,run,fire,run,fire
46.0,jump,order,need,flatten,curve,aka,stay,home,wash,stay
48.0,worried,new,worried,new
49.0,despite,government,advice,stay,home,today,lots,people,despite,government,advice,stay,home,today,lots,people
51.0,age,age
52.0,duty,care,citizen,happen,come,virus
53.0,scary,looking,goon,unsure,use,twitter,know,tweet,want,tweet,trump,instead
54.0,virus,advance,launch
60.0,wonder,carry,covid
62.0,midst,moving,fashion,industry,china,vulnerable,elderly,midst,moving,fashion,industry,china,vulnerable,elderly
63.0,social
65.0,stay,home,sadly,work,target,times,home,writing
67.0,location,data,beach,spring,break,location,data,beach,spring,break
70.0,racist,issue,human,china,issue,racist,issue,human,china
71.0,question,ignore,pandemic,playbook,sat,triggered,question,ignore,pandemic,playbook,sat
72.0,white,house,trade,adviser,peter,response,white,house,trade,adviser,peter
73.0,latest,remains,tension,trump,federal,helping,latest,remains,tension,trump,federal,helping
75.0,stop,lying,joe,true,midst,pandemic,people,stay,home,result,stop,lying,joe,true,midst,pandemic,people,stay,home
76.0,gee,blocked,applaud,china,global,leader,alt
77.0,dear,exes,old,work,corona,world,miss
78.0,systematic,whitewash,communist,party,china,try,systematic,whitewash,communist,party,china
79.0,gave,entire,self,community,matter,incredibly,complex,problem,gave,entire,self,community,matter,incredibly,complex,problem
80.0,giving,damn,giving,damn
82.0,country,date,seen,attack,rate,thousand,country,date,seen,attack,rate,thousand
