5.0,indicator,panic,column
6.0,country,fighting,government,federal,judge,order,country,fighting,government,federal,judge,order,hill
7.0,trump,vaccine,mere,government,expert,trump,vaccine,mere,government,expert
11.0,global,novel,situation,rapidly,travel,health,currently,global,novel,situation,rapidly,travel,health
12.0,boom,dow,nearly,single,day,point,gain,history,media,endlessly,boom,dow,nearly,single,day,point,gain,history,media,endlessly
17.0,hope,added,task,force,hope,added,task,force
20.0,posting,hand,yesterday,hand,glad,buy,bulk,guy,caught,shoplifting
21.0,remember,press,conference,pence,great,job,trump,remember,press,conference,pence,great,job,trump
22.0,collection,horse,pastor,pence,government,able,bring,government,glad
23.0,lady,corona,virus,saying,nasty,came,eating,bats,lady,corona,virus,saying,nasty,came,eating
24.0,dirty,keyboard,desk
25.0,sent,people,stocking,health,necessary,case,sent,people,stocking,health,necessary
28.0,daughter,lounge,table,farther,away,group,men,daughter,lounge,table,farther,away,group
29.0,hearing,swamp,trying,tie,long,term,reauthorization,emergency,fight,hearing,swamp,trying,tie,long,term,reauthorization,emergency,fight
30.0,bad,unfortunately,going,bad,unfortunately,going
31.0,reminder,cast,key,help,narrowly,defeat,legislation,reminder,cast,key,help,narrowly,defeat,legislation
32.0,official,million,available,week,official,million,available,week
33.0,trump,publicly,expert,tony,trump,publicly,expert,tony
34.0,half,struck,saw,week,half,struck,saw,week
35.0,know,god,save,queen,flower,sufficient,wash,soap,hot,water,long,singing,happy,birthday
36.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
37.0,china,spy,scandal,entangled,hit,yale,federal,dragnet,massive,china,spy,scandal,entangled,hit,yale,federal,dragnet,massive
40.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
41.0,correspondent,continued,push,claim,president,trump,hoax,correspondent,continued,push,claim,president,trump
42.0,sent,memo,encouraging,use,fist,instead,high,fives,avoid,sent,memo,encouraging,use,fist,instead,high,fives,avoid
46.0,want,believe,risk,low,given
48.0,importance,journalism,democracy,united,transmission,likely,far,far,tha
51.0,couple,trust
53.0,came,hate,left,corona
54.0,available,summer,pence,great,news,thank,president,trump,available,summer,pence,great,news,thank,president,trump
56.0,confirmed,human,human,transmission,know,asymptomatic,people,transmit,virus,confirmed,human,human,transmission,know,asymptomatic,people,transmit,virus
57.0,breaking,stopped,number,tested,left,breaking,stopped,number,tested,left
58.0,outer,membrane,oil,fat,outer,membrane,oil,fat
59.0,grow,quarantine,senator,murphy,secret,meeting,regime,grow,quarantine,senator,murphy,secret,meeting,regime
60.0,times,like,buffoon,office,consequential,knew,corona,virus,times,like,buffoon,office,consequential,knew,corona
62.0,day,saint,couple,tested,positive,positive,perspective,quarantine,day,saint,couple,tested,positive,positive,perspective
63.0,blanketing,sell,boss,safe,single,great,blanketing,sell,boss,safe
65.0,person,person
66.0,breaking,stopped,number,tested,left,breaking,stopped,number,tested,left
67.0,closed,country,china,ahead,closed,country,china,ahead
68.0,hurting,economy,trump,going
69.0,like,incapable,giving,population,accurate,information,doubt,like,incapable,giving,population,accurate,information
71.0,watch,lick,shrine,infected,daily,wire
72.0,man,reason,shake,hand,concerned,catching,told,man,reason,shake,hand,concerned,catching
74.0,south,gone,covid,today,people,eve,south,gone,covid,today,people
77.0,cloud
78.0,dow,score,biggest,point,gains,stocks,comeback,dow,score,biggest,point,gains,stocks,comeback
79.0,fight,china,color,code,red,facial,recognition
80.0,canada,universal,tested,got,bill,canada,universal,tested,got
81.0,breaking,contracted,flu,yesterday,die,people,little,breaking,contracted,flu,yesterday,die,people,little
82.0,update,global,death,toll,epidemic,infected,people,update,global,death,toll,epidemic,infected
85.0,think,everybody,time,year,mean
86.0,office,routinely,phone,people,yelling,eric,gaseous,colostomy,bag,office,routinely,phone,people,yelling,eric,gaseous,colostomy,bag
87.0,hate,country,tested,reject,test,hate,country,tested,reject,test
88.0,hearing,news,valuable,available,hearing,news,valuable,available
89.0,today,additional,guidance,strongly,encouraging,twitter,globally,work,home,today,additional,guidance,strongly,encouraging,twitter,globally,work,home
90.0,hospital,testing,capacity,national,scan,hospital,testing,capacity,nat
91.0,page,graphics,visual,abstract,page,graphics
93.0,trump,sharpie,lie,path,hurricane,hurricane,pass,trump,sharpie,lie,path,hurricane,hurricane
94.0,confirm,seeing,corona
95.0,hate,country,tested,reject,test,hate,country,tested,reject,test
96.0,wearing,mask,wearing,mask
97.0,people,world,wear,surgical,mask,million,people,wan,people,world,wear,surgical,mask,million,people
99.0,bad,unfortunately,going,bad,unfortunately,going
101.0,outbreak,literally,single,soul,welcome,episode,outbreak,literally,single,soul,welcome,episode
103.0,cold,war,avoid,conflict,russia,apparently,cold,war,avoid,conflict,russia,apparently
104.0,revealing,hear,issue,concerned,revealing,hear,issue
107.0,evacuee,advice,evacuee,advice
108.0,confirmed,today,prime,minister,declared,country,confirmed,today,prime,minister,declared,country
111.0,cover,stopped,number,tested,mike,pence
112.0,government,urging,people,sick,stay,home,help,prevent,spread,government,urging,people,sick,stay,home,help,prevent,spread
117.0,liar,second,time,week,reporter,mike,false,trump,liar,second,time,week,reporter,mike,false
118.0,donated,relief,band,tour,donated,relief,band,tour
119.0,san,san
120.0,world,bank,ready,address,economic,world,bank,ready,address,economic
123.0,need,vaccine,need,vaccine
124.0,people,virus,people,virus
127.0,outbreak,literally,single,soul,welcome,episode,outbreak,literally,single,soul,welcome,episode
130.0,cum,face,cum,face
131.0,approach,slow,spread,live,new,york,times
132.0,fun,realize,fun,realize
133.0,abruptly,press,briefing,today,removed,information,detailed,abruptly,press,briefing,today,removed,information
134.0,racing,vitamin,beat,racing,vitamin,beat
135.0,turned,pence,turned,pence
136.0,aunt,partner,live,ugh,police,seven,quarantine
138.0,concerned,disease,look,surprise,know,concerned,disease,look,surprise
139.0,virus,hong,flu,aka
140.0,city,epicenter,outbreak,ask,city,epicenter,outbreak,ask
142.0,patient,disease,scary,thing,patient,disease,scary,thing
143.0,canada,support,join,international,community,political,canada,support,join,international,community,political
144.0,scientist,develop,vaccine,scientist,develop,vaccine
145.0,real,quick,like,people,dying,high,real,quick,like,people,dying,high
146.0,funder,breaking,dealing,clearly,infectious,disease,outbreak,likely,breaking,dealing,clearly,infectious,disease,outbreak
147.0,guy,people,tell,wrong,want,kind,health,crisis,guy,people,tell,wrong,want,kind,health,crisis
148.0,spy,feeling,know,spy,feeling,know
149.0,political,theology,mike,pence,emergency,team,praying,solution,screwed
150.0,politico,today,today,removed,information,detailed,people,country,test,politico,today,today,removed,information,detailed,people,country
151.0,vice,president,pence,gave,briefing,united,vice,president,pence,gave,briefing,united
152.0,best,carrier
157.0,corona,chat,corona,chat
159.0,question,tested,long,incubation,rate,sure,low,risk,covid,question,tested,long,incubation,rate,sure,low,risk,covid
160.0,people,world,wear,surgical,mask,million,people,wan,people,world,wear,surgical,mask,million,people
161.0,photo,pence,team,trying,pray,away,photo,pence,team,trying,pray,away
162.0,looking,forward,president,visit,state,embrace,current,recover,looking,forward,president,visit,state,embrace,current
163.0,horrific
164.0,media,country,abomination,genuine,shame,honest,people,waste,media,country,abomination,genuine,shame,honest,people
165.0,importance,cutting,budget,firing,importance,cutting,budget,firing
166.0,believe,exaggerated,people,health,healthy,people
169.0,urgent,democratic,presidential,candidate,solid,plan,ready,congress,speaker,supreme,court,agreeing,hear,case,affordable,care,act
171.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
173.0,photo,man,flushing,photo,man,flushing
175.0,real,quick,like,people,dying,high,real,quick,like,people,dying,high
176.0,selling,anti,corona,virus,spray,pop
178.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
179.0,friend,said,actually,poor,country,country,orang,global,kayak,virus,corona,masker,kali
180.0,dying,right,dying,right
181.0,know,honestly,relatively,high,possibility,socialism,wet,know,honestly,relatively,high,possibility,socialism
182.0,confirmed,state,confirmed,state
183.0,new,vaccine,patent,based,institute,new,vaccine,patent,based,institute
184.0,need,vaccine,need,vaccine
186.0,disease,blood,safety,disease,blood,safety
187.0,need,vaccine,need,vaccine
188.0,link,detailed,link,detailed
190.0,holy,listen,brave,courageous,woman,holy,listen,brave,courageous,woman
191.0,today,welcome,ambassador,world,renowned,global,health,official,physician,whit,today,welcome,ambassador,world,renowned,global,health,official,physician
192.0,reminder,warren,leader,plan,address,today,tomorrow,reminder,warren,leader,plan,address,today,tomorrow
194.0,going,soon,country,like,northern,state,adopt,mitigation,step,going,soon,country,like,northern,state,adopt,mitigation
196.0,people,world,wear,surgical,mask,million,people,wan,people,world,wear,surgical,mask,million,people
197.0,lady,corona,virus,saying,nasty,came,eating,bats,lady,corona,virus,saying,nasty,came,eating
199.0,grow,quarantine,senator,murphy,secret,meeting,regime
202.0,legitimacy,united,government,retrospect,public,cha,legitimacy,united,government,retrospect,public
203.0,hate,country,tested,reject,test,hate,country,tested,reject,test
204.0,worst,thing,corona,virus,outbreak,outbreak,worst,thing,corona,virus,outbreak,outbreak
206.0,turned,pence,turned,pence
208.0,drop,world,poverty,significant,increase,global,economic,freedom,beginning,drop,world,poverty,significant,increase,global,economic,freedom,beginning
209.0,trump,vaccine,mere,government,expert,trump,vaccine,mere,government,expert
210.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
211.0,corona,loose
213.0,business,telling,ignorant,people,buy,dip,getting,better
214.0,help,trump,hurt,run
215.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
216.0,hospital,testing,capacity,national,scan,hospital,testing,capacity,nat
217.0,medical,white,house,patiently,explain,trump,idea,flu,vaccine,address,medical,white,house,patiently,explain,trump,idea,flu,vaccine,add
219.0,vice,president,pence,gave,briefing,united,vice,president,pence,gave,briefing,united
221.0,covid,affect,caramel,wafer,production,covid,affect,caramel,wafer,production
224.0,san,longer,faculty,university
225.0,national,scandal,doctor,trump,administration,way,preparation,national,scandal,doctor,trump,administration,way,preparation
227.0,donated,million,won,community,chest,help,support,affected,outbreak,donated,million,won,community,chest,help,support,affected
228.0,smash,corona,virus,imagine,direct,corona,fight
229.0,source,sink,objective,somewhat,unsympathetic,right,exactly,worrying,getting,homeless,community,vulnerable
231.0,congressional,making,case,hill
232.0,gym,work,defeat,gym,work,defeat
233.0,thing,leave,pandemic,warning,system,self,red,line,ideological,thing,leave,pandemic,warning,system,self,red,line,ideological
234.0,news
235.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
236.0,love,totally,agree,listening,sturgeon,news,leader,clear,concise,statement,waffle
237.0,capitalism,baby,capitalism,baby
238.0,real,quick,like,people,dying,high,real,quick,like,people,dying,high
239.0,mask,toxic,effects,worry,cancer,damage,infertility,time,manifest,mask,toxic,effects,worry,cancer,damage,infertility,time,man
242.0,japan,south,china,canada,japan,south,china
243.0,biggest,music,according,global,music,report,japan,biggest,music,according,global,music,report,japan
245.0,solution,migrant,rape,epidemic,better,touch,anti,rape
246.0,today,learned,mistakenly,patient,center,infectious,disease,later,today,learned,mistakenly,patient,center,infectious,disease,later
247.0,thing,help,prevent
249.0,staff,work,home,precaution
251.0,friend,hospital,days,friend,hospital,days
252.0,corona,virus,like,corona,virus,like
253.0,tour,sure,double,check,status,day,tour,sure,double,check,status,day
254.0,business,prepare,organization,staff,business,prepare,organization,staff
255.0,look,utterly,useless,praying,look,utterly,useless,praying
257.0,best,set,found,corona,virus,worth,watching,best,set,found,corona,virus,worth,watching
262.0,voting,impeach,president,working,rest
265.0,story,told,experience,foreign,touring,china,family,story,told,experience,foreign,touring,china
266.0,like,click
269.0,stupidity,going,screw,season,breaking,days,entering
270.0,expert,world,ready,pandemic
273.0,helicopter
274.0,pushing,narrative,trump,hoax,lying,pretty,obvious,pushing,narrative,trump,hoax,lying,pretty,obvious
275.0,trump,grip,corona,virus,double,quick,trump,extremely,sick
276.0,need,vaccine,need,vaccine
279.0,hearing,swamp,trying,tie,long,term,reauthorization,emergency,fight,hearing,swamp,trying,tie,long,term,reauthorization,emergency,fight
280.0,hearing,swamp,trying,tie,long,term,reauthorization,emergency,fight,hearing,swamp,trying,tie,long,term,reauthorization,emergency,fight
281.0,know,covid,run,total,publicly,know,covid,run,total,publicly
282.0,congress,needs,immediately,pass,bill,cover,cost,testing,congress,needs,immediately,pass,bill,cover,cost
