1.0,awesome,night,tonight,thanks,support
3.0,today,matter,lot
4.0,covid,swimming,fun
6.0,trump,literally,corporate,welfare,big,trump,literally,corporate,welfare,big
7.0,covid,tao
8.0,flu,media,end,readily
9.0,facing,crisis,human,survival,communist,party,virus,taking
12.0,eat,covid,thread,host,eat,covid,thread,host
13.0,covid,plummet,rest,spike,covid,plummet,rest,spike
14.0,social,tut,tut,rule,need,follow
15.0,murderer,report
17.0,pandemic,death,rate,possible,pandemic,death,rate,possible
18.0,personal,news,seen,grandma,days,quarantine,covid
19.0,hello,twitter,garage,door,business,sadly,work,slow,covid,hello,twitter,garage,door,business,sadly,work,slow
22.0,getting,crisis,height,absurdity,ensure,safety,outside,getting,crisis,height,absurdity,ensure,safety,outside
24.0,know,pic,know,abide,social,people
27.0,narrator,narrator
28.0,kill,rioting,block,kill,rioting
31.0,breaking,house,million,research,gun,violence,thank,breaking,house,million,research,gun,violence,thank
32.0,distressing,rise,food,hunger,crisis,urgent,expansion,price,distressing,rise,food,hunger,crisis,urgent,expansion,price
33.0,glad,finally,come,admit,rioting,spread,covid,wish,able,glad,finally,come,admit,rioting,spread,covid,wish
35.0,wear,mask
36.0,think,pay,free,pandemic,think,pay,free,pandemic
38.0,disgusted,cutting,pandemic,messing,education,disgusted,cutting,pandemic,messing,education
42.0,think
46.0,eerie,virus,treatment,series,dead,zone,spread,virus,china,watch,spot
47.0,sister,works,covid,school,notified,people,sister,works,covid,school,notified
48.0,confirmed,case,covid,united,president,trump,confirmed,case,covid,united,president,trump
49.0,incredible,think,company,time,incredible,think,company
50.0,watch,try,explain,trump,use,covid,relief,funds,renovate,watch,try,explain,trump,use,covid,relief,funds,renovate
52.0,gun,prepared,covid,response
53.0,seventy,seven,staggering,tragedy,afford,accustomed,seventy,seven,staggering,tragedy,afford,accustomed
54.0,covid,double,hurricane,covid,ready,warning,people,north,live
55.0,government,response,pandemic,surprisingly,honest,informative,government,response,pandemic,surprisingly,honest,informative
56.0,following,simple,effective,work,beat,time,let,following,simple,effective,work,beat,time,let
57.0,spread,imagine,happen,spread,refuse,believe,spread,imagine,happen,spread,refuse,believe
58.0,believe,guy,covid,prior,death,cabinet
60.0,pandemic,cocaine,soda,pandemic,cocaine,soda
61.0,read,thing,living,nightmare,social,seriously,read,thing,living,nightmare,social,seriously
62.0,clark,talk,baseball
65.0,state,chaos,cut,social,security,state,chaos,cut,social,security
66.0,pandemic,cruel,human,toll,chronicle,pandemic,cruel,human,toll,chronic
67.0,mayor,extended,ban,class,learning,week,election,mayor,extended,ban,class,learning,week,election
69.0,remember,politics,profitable,economics,remember,politics,profitable,economics
71.0,holding,month,unemployment,work,holding,month,unemployment,work
72.0,people,cure,covid,overwhelming,cumulative,evidence,people,cure,covid,overwhelming,cumulative,evidence
73.0,wow,sister,works,covid,school,notified
74.0,hot,stare,nonchalance,pandemic,year,old,teen,massive,twitter,hack,high,profile
75.0,rate,infection,similar,strategy,rate,infection,similar,strategy
76.0,want,look,finding,paper,available,soon,want,look,finding,paper,available,soon
78.0,marked,fourth,consecutive,day,record,number,covid,state,marked,fourth,consecutive,day,record,number,covid,state
80.0,fake,news,media,want,clip,drive,crazy,viral,fake,news,media,want,clip,drive,crazy,viral
81.0,people,covid
82.0,midst,pandemic,sign,bizarre,listen,midst,pandemic,sign,bizarre
83.0,hoppers,crossing,highest,number,active,covid,keeping
84.0,control,virus,grave
85.0,mother,covid,safe,reopen,turn,dangerous,election
86.0,yeah,wonder,pod,ass,kisser,trump,fantastic,job,covid,fourth,day,row,record
90.0,eat,covid,thread,host,eat,covid,thread,host
91.0,wonder,wear,mask,realize,government,bureaucrat
92.0,county,county,public,think,county,county,public,think
93.0,lot,people,retail,staff,people,lot,people,retail,staff,people
95.0,incredible,board,certified,emergency,speak,openly,incredible,board,certified,emergency,speak,openly
96.0,understanding,correctly,covid,control,election,post,understanding,correctly,covid,control,election
97.0,responsible,rehabilitation,vulnerable
98.0,need,send,shipment,body,hurricane
99.0,pandemic,cocaine,soda,pandemic,cocaine,soda
103.0,tough,time,sex,likely,continue,long,time,covid,shown
104.0,yes,president,response,saved,yes,president,response,saved
106.0,maybe,bad,maybe,bad
107.0,best,control,comment,saying,large,best,control,comment,saying,large
108.0,people,cure,covid,overwhelming,cumulative,evidence,people,cure,covid,overwhelming,cumulative,evidence
109.0,mince,dead,trump,administration,use,pandemic,politic,mince,dead,trump,administration,use,pandemic
111.0,good,taking,presidential,leadership,role,good,taking,presidential,leadership,role
113.0,black,democrat,pandemic,huge,indoor,funeral,black,republican,black,democrat,pandemic,huge,indoor,funeral,black,republican
115.0,article,thousand,ninety,believe,article,thousand,ninety,belie
117.0,trump,donate,plasma,treat,new,news,trump,donate,plasma,treat,new,news
118.0,human,trial,covid,vaccine,human,trial,covid,vaccine
119.0,entire,response,entire,response
120.0,tone,telling,petulant,impatient,contrary,clear,tone,telling,petulant,impatient,contrary
122.0,covid,covid
123.0,breaking,hong,legislative,election,covid,china,breaking,hong,legislative,election,covid,china
125.0,unacceptable,litigate,sister,works,covid,school,notified
126.0,think,alive,worst,presidency,history,tell,think,alive,worst,presidency,history,tell
127.0,man,different
128.0,eric,great,day,wear,mask,ass
129.0,need,protect,health,safety,county,spread
