2.0,corona,trapped,manila,chance
3.0,breaking,inspector,amid,meat,plant,business,breaking,inspector,amid,meat,plant,business,meat
4.0,south,new,new,total,confirmed,total,cor,south,new,new,total,confirmed,total
6.0,covid,reduce,virus,spread,covid,reduce,virus,spread
8.0,interesting,tidbit,rand,justly,force,people,stay,home,epidemic,interesting,tidbit,rand,justly,force,people,stay,home,epidemic
9.0,god,father,judge,heaven,hold,democrat,vermin,shoehorn,infected,nursing,tho
10.0,problem,people,charge,pandemic,idea
15.0,instead,actually,pandemic,instead,actually,pandemic
19.0,pandemic,pandemic
20.0,kind,calm,safe,covid,survey,today,survey,kind,calm,safe,covid,survey,today,survey
22.0,ending,people,ending,explanation,government,necessary,ending,people,ending,explanation,government,necessary,thanks
24.0,funder,breaking,trump,support,insane,reopen,protest,new,york,great,rally,breaking,trump,support,insane,reopen,protest,new,york,great,rally
27.0,quit,trying,sneak,emergency,supreme,decision
28.0,insist,reopen,june,state,private,insist,reopen,june,state,private
29.0,bill,killing,include
30.0,people,woke,decided,mask,social,blown,natural,selection,people,woke,decided,mask,social,blown,natural,selection
32.0,found,uncle,dying,covid,said,month,left,home,got,covid,found,uncle,dying,covid,said,month,left,home,got,covid
33.0,know,suing,county,release,susceptible,know,suing,county,release,susceptible
35.0,want,need,shutdown,international,poll,want,need,shutdown,international,poll
36.0,ser,attunement,episode,guest,discuss,voting,mail,voting
39.0,smear,campaign,trump,accusation,blaming,covid,par,smear,campaign,trump,accusation,blaming,covid,par
40.0,governor,leading,example,getting,covid,test,love,guy,governor,leading,example,getting,covid,test,love,guy
42.0,ignorant,trump,trying,blame,president,president
43.0,animal,crossing,like,summer,animal,crossing,like,summer
45.0,ending,people,ending,explanation,government,necessary,ending,people,ending,explanation,government,necessary,thanks
46.0,covid,existential,threat,survival,media,media,disclosed,lots,covid,existential,threat,survival,media,media,disclosed
47.0,opposition,opposition
48.0,boom,ordered,allow,interfering,medical,policy,boom,ordered,allow,interfering,medical,policy
49.0,pandemic,pandemic
50.0,ocean,article,day,sue,rule,relaxation,pandemic
54.0,flying,country,encourage,pandemic,hope,best,flying,country,encourage,pandemic,hope,bes
55.0,drug,store,deal,walk,covid,testing,goal
57.0,wage,revision,pending,settled,immediately,respectable,increment,insurance,wage,revision,pending,settled,immediately,respectable,increment,insurance
58.0,quarantine,despite,necessary,weird,people,enjoy
59.0,petty,democratic,population,trying,control,collective,middle,petty,democratic,population,trying,control,collective
60.0,trump,troll
61.0,directed,ford,murder,directed,ford,murder
62.0,news,cast,producer,story,hospital,town,dancing,covid,news,cast,producer,story,hospital,town,dancing
63.0,living,epidemic,wrong,media,look,report,wro,living,epidemic,wrong,media,look
65.0,lost,favorite,morning,best,friend,nearly,lost,favorite,morning,best,friend,nearly
66.0,dead,eric,know,trump,real,dead,eric,know,trump,real
69.0,tomorrow,usual,discover,planet,stop,melting,tomorrow,usual,discover,planet,stop,melting
71.0,public,business,men,corona,virus
72.0,covid,hoax,eric,trump,basement,agree,day,drunk,judge,covid,hoax,eric,trump,basement,agree,day,drunk,judge
73.0,second,time,trump,administration,testing,program,time,second,time,trump,administration,testing,program,time
74.0,people,woke,decided,mask,social,blown,natural,selection,people,woke,decided,mask,social,blown,natural,selection
75.0,pandemic,pandemic
76.0,social,social
78.0,irresponsible,lucky,covid,survivor,immediately,start,acting,boastfully,consultant,epidemiologist,irresponsible,lucky,covid,survivor,immediately,start,acting,boastfully,consultant
79.0,desperate,rush,truck,ride,spotted,desperate,rush,truck,ride
80.0,decided,shave,pillar,faith,continue,treating,covid,decided,shave,pillar,faith,continue,treating,covid
81.0,stay,home,forget,wear,mask
82.0,eric,trump,read,news,country,towing,family,line,eric,trump,read,news,country,towing,family
83.0,return,policy,covid,big,age
85.0,want,locked,bad,week,day,want,locked,bad,week,day
86.0,wall,going,fast,today,wall,going,fast,today
87.0,bar,close,good,reopen,men,worry,bar,close,good,reopen,men
88.0,covid,turn,prime,minister,silent,protest
89.0,music,employee,dancing,lost,love,music,employee,dancing,lost,love
90.0,atlas,unable,unwilling,better,based
92.0,sheep,need,quit,snooze,button,wake,hell,don,calling
93.0,sense,stupid,protect,prevent,smart
95.0,people,concerned,climate,change,wear,mask,time,pandemic,survey,people,concerned,climate,change,wear,mask,time,pandemic,survey,reve
