4.0,mean,country,lock,million,people
5.0,think,acceptable,think,acceptable
6.0,funder,breaking,trump,removed,pentagon,official,post,independent,watchdog,funds,pure,corrupt,breaking,trump,removed,pentagon,official,post,independent,watchdog,funds
7.0,praise,government,providing,basic,hospital,covid,praise,government,providing,basic,hospital
8.0,trump,cut,world,health,missing,trump,cut,world,health,missing
9.0,advice,learning,pointed,million,advice,learning,pointed,million
12.0,thank,president,thank,president
14.0,pastor,sam,killing,ignorance,misinformation,simple,pastor,sam,killing,ignorance,misinformation,simple,intern
18.0,time,staff,aquarium,month,old,dory,guppy,marlin,color,staff,aquarium,month,old,dory,guppy,marlin
19.0,hire,black,woman,time,intern,stop,travel,hire,black,woman,time,intern,stop,travel
20.0,thank,leading,way,supporting,prime,minister,deserve,thank,leading,way,supporting,prime,minister
22.0,uncertain,times,lord,bless,peace,good,health,wish,hope,tide,soon,strong,uncertain,times,lord,bless,peace,good,health,wish,hope,tide,soon
23.0,actor,donated,relief,fund,fight,handed,cheque,actor,donated,relief,fund,fight,handed
24.0,keeping,busy,family
27.0,population,wide,contact,tracing,testing,isolation,allow,stay,population,wide,contact,tracing,testing,isolation,allow
28.0,central,food,technological,research,institute,district,administration,making,central,food,technological,research,institute,district,administration
29.0,breaking,lock,police,case,matter,employer
30.0,new,sense,collective,purpose,response,notably,new,sense,collective,purpose,response,notably
31.0,distributed,essential,grocery,affected,distributed,essential,grocery,affected
32.0,loose,inaction,counting,finance,loose,inaction,counting,finance
33.0,new,interview,fox,president,trump,early,access,new,interview,fox,president,trump,early,access
34.0,chance,register,health,care,attend,nurse,connect,covid,chance,register,health,care,attend,nurse,connect,covid,tele
35.0,contribute,mass,covid,testing
37.0,left,new,nightingale,hospital,coming,patient,battle,left,new,nightingale,hospital,coming
38.0,carry,pandemic,unforgivable
39.0,revelation,social,media,recently,home,friend
40.0,assured,public,private,receive,personal,protective,equipment
41.0,wish,convey,heartfelt,appreciation,people,warm,gesture,sending,wish,convey,heartfelt,appreciation,people,warm,gesture
42.0,stuff,like,covid,best
43.0,police,health,media,vulnerable,proper,gear,police,health,media,vulnerable,proper,gear
44.0,thanks,lot,best,thanks
46.0,ani,brought,information,consume,drug,public,prevention,brought,information,consume,drug,public
47.0,understand,concern,try,resolved,soon,covid,situation
50.0,use,post,covid,era,finally,start,designing,enable,better,use,post,covid,era,finally,start,designing,enable,better,limit
51.0,know,worth,water,till,dry,earth,favor,water,saver,know,worth,water,till,dry,earth,favor,water,saver
53.0,low,mortality,rate,foreign,press,news,story,constantly,flux,low,mortality,rate,foreign,press,news,story
57.0,found,interesting,whilst,promotion,school,found,interesting,whilst,promotion,school
58.0,handling,state,better,corona,yogi,handling,state,better,corona,yogi
59.0,appreciate,extra,safety,taken,forest,wildlife,tiger,appreciate,extra,safety,taken,forest,wildlife
62.0,needs,plasma,read,needs,plasma,read
65.0,superpower,led,world,nation,earth,vaunted,medical,brought,superpower,led,world,nation,earth,vaunted,medical
66.0,buy,sun,stay,home,stay,safe,stay,sane,buy,sun,stay,home,stay,safe,stay,sane
67.0,economy,shut,fled
68.0,day,day
70.0,alcohol,chlorine,body,kill
72.0,starting,evidence,long,term,exposure,air,disproportionately,color,starting,evidence,long,term,exposure,air,disproportionately
74.0,relaxation,relaxation,non,life,threatening,continue,undermine,purpose,relaxation,relaxation,non,life,threatening,continue,undermine,purpose
75.0,know,clearly,funds,imperial,college,prof,works,know,clearly,funds,imperial,college,prof,works
78.0,easy,receiver,corner,popcorn,ready
79.0,cool,person,stupid
80.0,young,man,built,site,young,man,built,site,offer
81.0,horrific,live,television,potential,new,treatment,horrific,live,television,potential,new,treatment
82.0,august,use,room,free,sign,room,opposite
83.0,false,information,social,media,help,save
85.0,dear,dear,success,atop,problem,join,dear,dear,success,atop,problem,join
86.0,new,new
89.0,elderly,waste,money,comes,money,elderly,waste,money,comes,money
94.0,chief,minister,said,government,immediately,billion,chief,minister,said,government,immediately,billion
101.0,applied,interest,applied,interest
102.0,report,bush,foundation,sent,millions,china,despite,mass,shortage,report,bush,foundation,sent,millions,china,despite,mass,shortage
104.0,lack,transparency,audit,inherently,idiotic,remember,clear
105.0,doctor,crisis,unfold,person,time,like
106.0,established,covid,control,room,established,covid,control,room
107.0,unfortunately,bus,exposed,daily,basis,high
109.0,health,minister,divine,punishment,homosexuality,positive,covid,health,minister,divine,punishment,homosexuality,positive,covid
110.0,like,china,ended,light
112.0,president,possible,mess,needs,pay,president,possible,mess,needs,pay
113.0,china,claim,honestly,know,china,china,claim,honestly,know,china
114.0,sally,compete,survival,sally,compete,survival
115.0,infect,dogs,infect,dogs
119.0,model,model
122.0,past,new,new,raising,total,past,new,new,raising,total
124.0,covid,massive,screening,operation
127.0,right,left,control,vote,mail,voter,want,able,right,left,control,vote,mail,voter,want
129.0,good,deal,creeping,effort,prematurely,end,informed,subconscious,fear,long,good,deal,creeping,effort,prematurely,end,informed,subconscious,fear
131.0,dear,hospital,protest,ordered,communist,party,dear,hospital,protest,ordered,communist
133.0,good,morning,worried,boring,day,fear,cup,semi,final
135.0,number,covid,crossed,state,registered,highest,number,thack,number,covid,crossed,state,registered,highest,number
136.0,world,health,saying,vaccine,world,health,saying,vaccine
137.0,forgot,brother,anil,command,nature,stop,brother,anil,beg,forgot,brother,anil,command,nature,stop,brother,anil
