1.0,neighbor,food,plenty,share,pandemic
2.0,flu,season,ended,according,flu,flu,season,ended,according,flu
5.0,help,planet,home,taking,turn,help,planet,home,taking,turn
6.0,expansion,testing,intense,expansion,testing,intense
7.0,date,mar,date,mar
9.0,people,start,working,today,certain,resume,people,start,working,today,certain,resume
10.0,poll,found,nearly,half,new,york,city,know,covid,white,said,poll,found,nearly,half,new,york,city,know,covid,white,said
11.0,maybe,pay,people,maybe,pay,people
14.0,social,spontaneous,social,spontaneous
15.0,suspected,test,government,facility,suspected,test,government,facility
17.0,great,chat,sate
18.0,new,york,city,police,broken,social,place,new,york,police,funeral,rabbi
19.0,dice,mas,dice,mas
20.0,covid,white,people,acting,like,stay,home,version,civil,rig,covid,white,people,acting,like,stay,home,version,civil,movement
21.0,covid,covid
22.0,country,begin,prepare,reality,learning,exist,country,begin,prepare,reality,learning,exist
23.0,marc
24.0,las,con,las,las,con
25.0,covid,covid
26.0,look,seen,excess,mortality,united,data,twice,excess,look,seen,excess,mortality,united,data,twice,excess
27.0,pertinent,interview,jane,species,pandemic,need,reconsider,pertinent,interview,jane,species,pandemic,need
28.0,sant,sant
29.0,hoy,exterior,hoy
30.0,covid,decide,manter,rio
31.0,judge,stay,home,order,civil,judge,stay,home,order,civil
32.0,director,regional,mesa,regional,director,regional,mesa,regional
33.0,corona,corona
35.0,pence,said,wearing,mask,tested,regular,basis,pence,said,wearing,mask,tested,regular,basis
36.0,vaccine,effective,heading,mass,production,vaccine,effective,heading,mass,production,vaccine
37.0,corporation,importance,hand,hygiene,particularly
38.0,bom,corona,fez
39.0,analysis,trump,simply,away,analysis,trump,simply,away
40.0,self,isolating,social,time,prevent,spread,self,isolating,social,time,prevent,spread
42.0,stop,busy,work,today,cause,nice,outside,hope,miss,comes
43.0,academic,reopen,economy,political,conspiracy,kill,harm,academic,reopen,economy,political,conspiracy,kill
44.0,potato,people,double,consumption,times,week,potato,potato,people,double,consumption,times,week
46.0,order,beard,temporarily,request,county,health
47.0,forget,devious,trump,causing,forget,devious,trump,causing
48.0,blue,city,today,beautiful,outrage,lack,social,blue,city,today,beautiful,outrage,lack,social
49.0,story,flower,facing,apathy,forced,destroy,story,flower,facing,apathy,forced,destroy
50.0,responsible,tide,pod,epidemic
51.0,left,observe,nature,inner,self,great,woke,new,world,left,observe,nature,inner,self,great,woke,new
52.0,wait,ask,like,ridiculous,covid
