3.0,step,know,step,know
4.0,bitch,good,night,gon,tell,close,door,home,bitch,good,night,gon,tell,close,door,home
5.0,fat,thug,spat,woman,park,mid,pandemic,picnic,easily,fat,thug,spat,woman,park,mid,pandemic,picnic
6.0,want,thank,tommy,getting,ass,today,country,deny,racism,want,thank,tommy,getting,ass,today,country,deny
7.0,want,hear,black,matter,problem,whilst,pandemic,look,want,hear,black,matter,problem,whilst,pandemic,look
9.0,need,involve,decision,making,need,involve,decision,making
10.0,corona,crisis,hame
12.0,exposed,corona,virus,staff,sitting,pee,going,missing,exposed,corona,virus,staff,sitting,pee,going
15.0,exposed,corona,virus,staff,sitting,pee,going,missing,exposed,corona,virus,staff,sitting,pee,going
16.0,confirmed,people,roadhouse,working,sick,contact,confirmed,people,roadhouse,working,sick
19.0,extended,executive,zoom,video,conference,extended,executive,zoom,video,conference
22.0,longer,brock,turner,jail,raping,unconscious,woman,longer,brock,turner,jail,raping,unconscious,woman
23.0,going,start,wearing,mask
24.0,bitch,good,night,gon,tell,close,door,home,bitch,good,night,gon,tell,close,door,home
25.0,bitch,good,night,gon,tell,close,door,home,bitch,good,night,gon,tell,close,door,home
27.0,covid,management,plan,sample,collection,corporation,let,covid,management,plan,sample,collection,corporation,ward
28.0,approach,testing,lovely,approach,testing,lovely
29.0,boss,apparently,allegedly,taken,furlough,money,boss,apparently,allegedly,taken,furlough
32.0,like,want,end,work,day,spend,earnings,nice
34.0,editor,response,science,policy,failure,generation,health,policy,editor,response,science,policy,failure,generation
35.0,china,divergent,second,wave,covid,aggressive,china,divergent,second,wave,covid,aggressive
36.0,guy,spreading,fake,news,saying,shah,cancer,guy,spreading,fake,news,saying,shah,cancer
38.0,know,pandemic,government,prepare,know,pandemic,government,prepare,bush,fire,season
40.0,support,appreciation,affected,quarantine,support,appreciation,affected,quar
41.0,place,away,coming,place,away
42.0,bitch,good,night,gon,tell,close,door,home,bitch,good,night,gon,tell,close,door,home
43.0,bitch,good,night,gon,tell,close,door,home,bitch,good,night,gon,tell,close,door,home
44.0,new,active,total,sport,new,active,total
46.0,naturally,join,conspiracy,spew,crazy,suffice,time,naturally,join,conspiracy,spew,crazy,suffice
47.0,times,got,trapped,khan,met,trump,issue,august,article
48.0,memorial,day,weekend,grad,amt,constantly,memorial,day,weekend,grad,amt,constantly,tourist
49.0,want,thank,tommy,getting,ass,today,country,deny,racism,want,thank,tommy,getting,ass,today,country,deny
50.0,new,today,day,average,new,nearly,new,today,day,average,new,near
52.0,welcome,prepare,welcome,generation,notch,welcome,prepare,welcome,generation,notch
53.0,jaw,dropping,corruption,pandemic,jaw,dropping,corruption,pandemic
54.0,losing,reducing,school,days,fighting,losing,battle,trying,save,alternating,different,days,week,phase
56.0,exposed,corona,virus,staff,sitting,pee,going,missing,exposed,corona,virus,staff,sitting,pee,going
58.0,crazy,medical,relate,year,old,survivor,received,hospital,bill,charging,life
59.0,talking,huge,sense,talking,huge,sense
60.0,soon,virus,need,china,sending,soon,virus,need,china,sending
61.0,country,different,virus,global,simply
62.0,sooner,later,disaster,totally,unforeseen,sooner,later,disaster,totally,unforeseen
63.0,cover,minority
64.0,insane,ass,going,insane,ass,going
