3.0,highest,san
4.0,ridiculous
5.0,like,trump,holding,rally,pandemic,health,told,cancel,ber,like,trump,holding,rally,pandemic,health,told,cancel
6.0,stay,home,stay,safe
7.0,covid,convenient,like,remind,covid,covid,convenient,like,remind,covid
8.0,couple,strongly
9.0,sign,good,leader,crisis,prepare,like,recession,sign,good,leader,crisis,prepare,like,recession
10.0,need,ethical,want,preserve,life,circumstance,save,people,unethical
15.0,news,football,quarantine,tell,tested,positive,news,football,quarantine,tell,tested,positive
16.0,covid,drop,single,time,new,today,total,covid,drop,single,time,new,today,total
17.0,pretty,sure,corona,virus,pants,begging,removed,system,pretty,sure,corona,virus,pants,begging,removed,system
21.0,positive,want,change,continue,positive,father,child,relationship,critical,positive,want,change,continue,positive,father,child,relationship,critical
22.0,straight,increasing,rate,sustainable,risk,overwhelming,straight,increasing,rate,sustainable,risk
23.0,based,anti,viral,drug,covid,treatment
25.0,trump,rally,today,today,fired,attorney,getting,close,revealing,trump,rally,today,today,fired,attorney,getting,close,reveal
26.0,cancel
27.0,hey,gang,update,united,horrendous,job,covid,domestic
28.0,millions,positive,according,anti,body,millions,positive,according,anti,body
29.0,everyday,spoilt,traffic,covid,traffic,home
31.0,wow,nursing,home,lose,single,person,covid,soon,wow,nursing,home,lose,single,person,covid
32.0,biggest,story,response,right,nearly,identical,case,rate,going,days,later,biggest,story,response,right,nearly,identical,case,rate,going,days
33.0,exist,trump,rally
34.0,response,covid,crisis,hey,stick
35.0,rally,social,indoors,jury,rally,social,indoors,jury
37.0,link,key,step,resort,link,key,step,resort
38.0,family,smell,like,weed,cause,social,family,smell,like,weed,cause,social
39.0,overseas,aid,stopped,ahead,department,axed,fight,warning,overseas,aid,stopped,ahead,department,axed,fight,warning
40.0,central,covid,testing,received,covid,director
41.0,trend,new,increase,trend,new
42.0,little,wake,wearing,cousin,checked,hospital,morning,body,little,wake,wearing,cousin,checked,hospital,morning
43.0,family,smell,like,weed,cause,social,family,smell,like,weed,cause,social
44.0,flatten,curve,interview,flatten,curve,interview
45.0,sight,behold,news,working,trump,rally,tested,positive,campaign,statement
46.0,lift,curfew,lift,curfew
47.0,imagine,lived,experience,imagine,lived,experience
49.0,hammer,shocking,focus,inaction,climate,change,technology,framework,change,hammer,shocking,focus,inaction,climate,change,technology,framework,change
52.0,despite,rising,covid,begin,training,week,despite,rising,covid,begin,training,week
53.0,new,trump,campaign,working,rally,tested,positive,trump,campaign,new,trump,campaign,working,rally,tested,positive,trump,campaign
54.0,fear,gift,covid,lots,law,fear,gift,covid,lots,law
56.0,real,beach,link,rise,covid,death,rate,somebody,lying
57.0,family,brother,tested,positive,corona,hard,time,fighting,family,brother,tested,positive,corona,hard,time,fighting
58.0,single,day,consecutive,days,height,single,day,consecutive,days,height
59.0,sports,ignorant,country,going,continue,tho,sports,ignorant,country,going,continue,tho
60.0,got,covid,negative,use,code,got,covid,negative,use,code
61.0,believe,people,wearing,mother,covid,father,going,believe,people,wearing,mother,covid,father
62.0,funder,breaking,trump,set,rally,tested,positive,event,spreading,breaking,trump,set,rally,tested,positive,event,spread
63.0,little,wake,wearing,cousin,checked,hospital,morning,body,little,wake,wearing,cousin,checked,hospital,morning
64.0,working,retail,nationwide,pandemic,special,kind,hell,example,working,retail,nationwide,pandemic,special,kind,hell,example
65.0,cheered,week,long,needs,sit,complain
66.0,ava,covid,excuse,slash,polling,vital,primary,defeat,covid,excuse,slash,polling,vital,primary,defeat
67.0,imbecility,new,pandemic,people,serra,statue,san,serra
68.0,family,smell,like,weed,cause,social,family,smell,like,weed,cause,social
71.0,infected,campaign,wearing,spewing,infected,campaign,wearing
74.0,delivery,man,times,week,start,drew,delivery,man,times,week,start,drew
75.0,rally,pandemic,unfold,tense,weekend,city,rally,pandemic,unfold,tense,weekend
76.0,trump,campaign,helping,set,rally,tested,positive,trump,campaign,helping,set,rally,tested,positive
77.0,desperate,stop,trump,know,key,election,wee,desperate,stop,trump,know,key,election
78.0,new,single,day,gone,trying,flatten,reduce,curve,loss,life,new,single,day,gone,trying,flatten,reduce,curve,loss
79.0,trump,rally,today,today,fired,attorney,getting,close,revealing,trump,rally,today,today,fired,attorney,getting,close,reveal
82.0,trump,campaign,advance,team,contracted,moving,sam,trump,campaign,advance,team,contracted,moving
83.0,watching,news,hour,today,mention,trillion,dollar,debt,mention,liberal,watching,news,hour,today,mention,trillion,dollar,debt,mention,liberal
84.0,reflection,local,ending,white,supremacy,reflection,local,ending,white,supremacy
85.0,educate,stop,tyrannical,educate,stop,tyrannical
86.0,believe,political,believe,people,willfully,ignorant,breaking,trump,test,positive,covid,ahead,campaign,rally
87.0,covid,share,alert,project
89.0,breaking,trump,tested,positive,covid,rally,fat,said,breaking,trump,tested,positive,covid,rally,fat
