3.0,great,bad,plague,great,bad,plague
4.0,wow,karma,bus,broke,speed,hit,chuck,hill,game,host,chuck,son,tested,positive,covid
6.0,work,lived,caught,lying,oath,congress,work,lived,caught,lying,oath,congress
7.0,going,especially,spend,million,federal,covid,relief,money,entice
8.0,wear,mask,simple,wear,mask,simple
9.0,longer,access,covid,data,sent,trump,administration,like,going,longer,access,covid,data,sent,trump,administration,like,going
10.0,man,grocery,store,small,town,wear,mask,employee,fled,hit,man,grocery,store,small,town,wear,mask,employee,fled
11.0,relief,mask,relief,mask
14.0,news,south,closed,budget,year,million,surplus,despite,remain,news,south,closed,budget,year,million,surplus,despite
15.0,spent,mystery,spent,mystery
17.0,chief,nurse,executive,mask,round,day,covid,chief,nurse,executive,mask,round,day,covid
18.0,good,fight,virus,destroy,small,good,fight,virus,destroy,small
19.0,pharmaceutical,given,billion,taxpayer,come,develop,pharmaceutical,given,billion,taxpayer,come,develop
20.0,covid,date,death,covid,date,death
21.0,new,billionaire,class,saw,collective,net,worth,grow,start,pandemic,new,billionaire,class,saw,collective,net,worth,grow,start,pandemic
22.0,pandemic,false,irresponsible,pandemic,false
25.0,positive,rate,rise,come,going,need,big,sustain,positive,rate,rise,come,going,need,big
26.0,spot,fake,thing,global,pandemic,town,lake,dart,spot,fake,thing,global,pandemic,town,lake
28.0,sorry,reading,trump,forcing,stop,sending,covid,data,skew,sorry,reading,trump,forcing,stop,sending,covid,data,skew
29.0,breaking,report,scientist,fired,covid,test,media,breaking,report,scientist,fired,covid,test,media,silent
30.0,care,right,killing,people,ridiculous,kemp,requirement,wear,public,covid
31.0,watching,recover,covid,country,political,stunt,start,watching,recover,covid,country,political,stunt,start
32.0,longer,access,covid,data,sent,trump,administration,like,going,longer,access,covid,data,sent,trump,administration,like,going
33.0,cent,worried,getting,sick,cent,worried,getting,sick
35.0,chuck,trump,post,health,lying,covid,chuck,trump,post,health,lying,covid,delete
36.0,yes,state,streets,yes,state,short,yes,state,streets,yes,state,short,change
