3.0,important,support,important,support
4.0,german,trump,administration,exclusive,vaccine,research,sale,german,trump,administration,exclusive,vaccine,research,sale
5.0,social,avoid,large,close,quarters,remember,wash,han,social,avoid,large,close,quarters,remember,wash
6.0,breaking,news,new,york,new,jersey,shut,tonight,breaking,news,new,york,new,jersey,shut,tonight
7.0,jack,thank,jack,welcome,twitter,thank,jack,welcome,twitter
8.0,corona,time
11.0,life,china,beginning,return,normal,outbreak,largely,life,china,beginning,return,normal,outbreak
14.0,social,works,social,works
17.0,corona,literally,plague
18.0,world,health,organization,covid,risk,open,world,health,organization,covid,risk,open
20.0,dog,sent,dog,sent
21.0,pandemic,vote,pandemic,whooping,ass,pandemic,vote,pandemic,whooping
22.0,lout,congress,goes,extent,virus,uneducated,spoiled,lout,congress,goes,extent,virus,uneducated
23.0,work,come,early,social,weekend
24.0,russia,hospital,rise,russia,hospital,rise
25.0,ago,told,working,social,care,low,skilled,people,ago,told,working,social,care,low,skilled
30.0,bet,demographically,unaffected,threat,inside,bet,demographically,unaffected,threat
31.0,market,fed,dumping,pandemic,sweeping,country,best,market,fed,dumping,pandemic,sweeping,country,best
32.0,think,everybody,quarantine,outbreak,situation,bad,wha,think,everybody,quarantine,outbreak,situation,bad
33.0,medical,working,control,world,salute,medical,working,control,world,salute
34.0,treason,dark,left,trying,use,attempt,soft,coup,president,trump
37.0,secure,southern,border,dangerously,unprepared,outbreak,secure,southern,border,dangerously,unprepared,outbreak
38.0,breaking,new,york,idea,breaking,new,york,idea
39.0,china,spoke,covid,lied,severity,illness,knew,china,spoke,covid,lied,severity,illness,knew
40.0,seriously,stop,thinking,sick,selfish,utterly,morally,corrupt,want,seriously,stop,thinking,sick,selfish,utterly,morally,corrupt,wan
41.0,breaking,testing,school,year,breaking,testing,school,year
45.0,racing,stopped,racing,stopped
48.0,protect,neck,making,thousand,new,york,city,protect,neck,making,thousand,new,york
49.0,generation,society,moral,obligation,pay,student,loan,generation,society,moral,obligation,pay,student,loan
53.0,day,dear,corona,away,earth,day,dear,corona,away,earth
56.0,innovation,planet,lot,people,technology,driven,covid,innovation,planet,lot,people,technology,driven
57.0,lots,people,thing,act,national,authority,work,lots,people,thing,act,national,authority
59.0,director,distracted,testing,answer,critical,prepare,director,distracted,testing,answer,critical,prepare
61.0,prime,minister,rocket,science,love,lord,mass,testing,test,prime,minister,rocket,science,love,lord,mass,testing,test
65.0,applied,yesterday,travel,travel,honeymoon,family,group,private,tour
66.0,dog,sent,dog,sent
67.0,control,pretty,shut,going,progressively,better,control,pretty,shut,going,progressively
68.0,trump,saying,pandemic,lot,people,intelligence,community,trump,saying,pandemic,lot,people,intelligence
70.0,legally,thing,recommend,suggest,legally,thing,recommend,suggest
71.0,attached,important,announcement,family,center,response,covid,attached,important,announcement,family,center,response,covid
73.0,opposition,keen,attack,spoil,image,sit,quit,opposition,keen,attack,spoil,image
75.0,government,treating,dogs,practice,discrimination,self,quarantine,self,hotel,arrival,march
76.0,ensure,production,treatment,covid,ensure,production,treatment,covid
77.0,champaign,mayor,frank,executive,order,giving,power,order,seizure,champaign,mayor,frank,executive,order,giving,power,order
79.0,cry,better,deserve,cry,better,deserve
80.0,flatten,growth,curve
81.0,live,press,conference,outbreak,world,health,organization,press,con
84.0,said,help,pandemic,said,help,pandemic
87.0,geneva,town,clapping,incredible,medical,staff,geneva,town,clapping,incredible,medical,staff
88.0,dog,sent,dog,sent
90.0,cat,practice,social,safe,best,cat,practice,social,safe,best
92.0,precautionary,measure,taken,national,like,precautionary,measure,taken,national
94.0,star,role,person,responsible,wrong,star,role,person,responsible,wrong
98.0,dear,young,people,saying,want,older,people,care,climate,dear,young,people,saying,want,older,people,care,climate
100.0,protect,neck,making,thousand,new,york,city,protect,neck,making,thousand,new,york
101.0,night,tip,headed,airport,transporting,outbreak,night,tip,headed,airport,transporting
103.0,forget,responsible,pandemic,china,china,lied,world,outbreak,forget,responsible,pandemic,china,china,lied,world,outbreak
104.0,corona,virus,minor,chastisement,major,chastisement,corona,virus,minor,chastisement,major,chastisement
105.0,making,people,awaken,inner,guy,bought,math,making,people,awaken,inner,guy,bought,math
106.0,step,way,trump,business,problem,step,way,trump,business,problem
108.0,little,food,social,lot,losing,money,afford,pay,little,food,social,lot,losing,money,afford
111.0,wrong,man,crisis,dating,making,worse,virus,wrong,man,crisis,dating,making,worse,virus
117.0,wildcat,strike,factory,company,order,staff,work,despite,confirmed,case,wildcat,strike,factory,company,order,staff,work,despite
118.0,help
120.0,medical,staff,line,war,physical,medical,staff,line,war,physical
122.0,remember,russia,china,real,threat,sarcasm
124.0,china,thank,test,mask,totally
127.0,government,official,vaccine,trial,march,trump,said,trump,government,official,vaccine,trial,march,trump,said,trump
129.0,great,job,health,care,reproductive,health,lower,global,great,job,health,care,reproductive,health,lower,global
130.0,yang,faham,yang,tissue,guna,ape,buy,need,leave,rest,need,think,smart,stay,cautious
131.0,latest,cause,bull,market,going,hastily,write,new,latest,cause,bull,market,going,hastily,write,new,hope
132.0,negativity,like,vile,people,movement,happy,breaking,virgin,atlantic,cut,day,march,grounding
138.0,know,suffer,social,dating,welcome,courtship,know,suffer,social,dating,welcome
140.0,best,heart,instead,pushing,vote,later,week,opposition,house,bill,report
141.0,decided,covid,hoax,hurt,mango,god,king,trump,decided,covid,hoax,hurt,mango,god,king,trump
142.0,dear,complete,list,play,dear,complete,list,play
148.0,mind,want,learn,ill,entertain,like,troll,mind,want,learn,ill,entertain,like,troll
150.0,san,use,plant,produce,disinfectant,alcohol,amid,spread
154.0,reminder,crisis,lot,healthy,people,sick,lot,sick,people,reminder,crisis,lot,healthy,people,sick,lot,sick
156.0,clear,work,ventilator,disaster,clear,work,ventilator,disaster
159.0,china,medical,help,curbing
160.0,main,office,home,fortunately,work,home,main,office,home,fortunately,work,home
166.0,corona,saya,suspect,corona,thread
168.0,man,positivity,man,positivity
169.0,burn,place,disgusting,slimy,mold,nasty,bed,burn,place,disgusting,slimy,mold,nasty
173.0,causing,shut,shift,learning,low,income,rural,face,major,causing,shut,shift,learning,low,income,rural,face,major
174.0,pray,beautiful,planet,pray,beautiful,planet
175.0,hell,nationwide,closed,hell,nationwide,closed,con
180.0,breaking,health,human,department,attack,computer,system,night,breaking,health,human,department,attack,computer,system,night
182.0,united,dose,possible,vaccine,today,united,dose,possible,vaccine,today
183.0,emergency,taking,help,prevent,spread,covid,protect,people,effective,emergency,taking,help,prevent,spread,covid,protect,people
185.0,die,corona,let,vote,single,democrat
187.0,map,information,closed,map,information,closed
188.0,filling,vacuum,president,left,filling,vacuum,president,left
189.0,damn,shame,mar,forced,shut,deep,cleaning,linked,club
192.0,time,time
193.0,seeing,official,black,widow,delay,soon,people,going,seeing,official,black,widow,delay,soon,people
194.0,small,business,information,combat,work,react
195.0,work,got,slashed,hard,corona,virus,scare,good,thing,ahead,dad
196.0,day,isolation,girl,new,born,white,better,sal,dream,ben,tried,hit,outside,trader,secret,fling,like
198.0,close,trouble,big,vaccine,quarantine,toilet,paper,seen,travel,ban,close,trouble,big,vaccine,quarantine,toilet,paper,seen,travel,ban
201.0,twitter,hope,stays,safe,twitter,hope,stays,safe
202.0,abundance,caution,accordance,national,emergency,declaration,concerning,covid,office,abundance,caution,accordance,national,emergency,declaration,concerning,covid
204.0,student,positive,covid,student,positive,covid
205.0,statistics,number,common,cold,malaria,statistics,number,common,cold,mala
206.0,literally,wrote,trying,early,week,round,literally,wrote,trying,early,week
208.0,know,want,talk,debate,let,story,lost,testing,locator,know,want,talk,debate,let,story,lost,testing
209.0,people,stand,told,truth,lead,science,donate,people,stand,told,truth,lead,science,donate
