2.0,like,conspiracy,theory,works
3.0,china,center,crash
12.0,covid
13.0,try,calling,market,morning,gossip,talking,badly,try,calling,market,morning,gossip,talking,badly
15.0,planet,live,trump,budget,chief,firm,amid,virus,outbreak,planet,live,trump,budget,chief,firm,amid,virus,outbreak
16.0,health,minister,confirmed,late,tested,positive,health,minister,confirmed,late,tested,positive
21.0,tested,positive,total,tested,positive,total,sand
24.0,response,plan,response,plan
25.0,cortez,people,eating,right,straight,cortez,people,eating,right,straight
26.0,know,caught,don,president
34.0,ill,forgive,forget,disabled,people,pointed,harm,straw,hypocrisy,ill,forgive,forget,disabled,people,pointed,harm,straw,hypocrisy,star
37.0,music,festival,till,music,festival,till
38.0,period,trying,shouting,racism,xenophobia,period,trying,shouting,racism,xenophobia
39.0,talk,super,cheap,check,continent,change,imagine,talk,super,cheap,check,continent,change
43.0,corona,virus,media,trying,scare,kill,racism,corona,virus,media,trying,scare,kill,racism
48.0,covid,affect,time,read,latest,article,key,covid,affect,time,read,latest,article,key
56.0,showing,sneezing,wear,face,mask
57.0,stop,touching,face,avoid,spread
58.0,breaking,health,minister,positive,breaking,health,minister,positive
59.0,tweet,withheld,canada,tweet,withheld,response,report,copyright,holder,learn
65.0,astoundingly,glowing,endorsement,trump,handling,cruise,ship,astoundingly,glowing,endorsement,trump,handling,cruise
69.0,hear,crisis,dire,hear,crisis,dire
70.0,exclusive,health,minister,exclusive,health,minister
76.0,update,match,arsenal,city,today,shut,update,match,arsenal,city,today,shut,dow
77.0,fire,vaccine,autism,lawsuit,claim,cause,fire,vaccine,autism,lawsuit,claim
78.0,protection,sneezing,health,world,organization,immunity,yoga
79.0,country,taking,better,rich,advanced,country,taking,better,rich,advanced
80.0,new,test,state,capacity,new,test,state,capacity
81.0,dealing,dealing
84.0,read,thing,today,read,read,thing,today,read
90.0,truly,different,town,truly,different,town
91.0,state,insurance,exchange,let,people,buy,health,insurance,covid,state,insurance,exchange,let,people,buy,health,insurance
92.0,today,university,available,modest,today,university,available,mode
95.0,tough,twitter,pussy,flu,stop,worrying,body,beat,tough,twitter,pussy,flu,stop,worrying,body,beat
96.0,statutory,voice
101.0,crossed,line,crossed,line
104.0,bravo,local,focus,research,supporting,bravo,local,focus,research,supporting
106.0,posted,live,audience,press,filing,center,spin,room,upcoming,debate
