2.0,expert,wave,china
4.0,thing,specially,media,importance,social,thing,specially,media,importance,social
6.0,economy
7.0,new,positive,return,new,positive,return
9.0,left,idiopathic,pulmonary,fibrosis
11.0,media,president,trump,week,potential,therapeutics,media,president,trump,week,potential,therapeutics
12.0,today,older,great,guy,sitting,couple,ago,today,older,great,guy,sitting,couple,wee
13.0,self,checker,available,addition,helping,self,self,checker,available,addition,helping
15.0,push,money,big,trying,extend,unemployment,senate,working,deliver,relief,struggling
16.0,pneumonia,early,work,blood,got,sick,deep,nasty,flu,went,round,early,telling,corona,bare,sick
17.0,dad,days,ago,hospital,restricted,order,contain,dad,days,ago,hospital,restricted,order
19.0,pour,gasoline,slow,rolling,crisis,untied,pour,gasoline,slow,rolling,crisis,untied
20.0,care,ashy,washing,stay,safe,wash,social,care,ashy,washing,stay,safe,wash
21.0,treatment,protocol,national,task,force,drug,controller,general,treatment,protocol,national,task,force,drug,controller,general
22.0,pandemic,established,death,lotter,pandemic,established,death,lot
23.0,list,include,business,list,include,business
24.0,saying,world,health
25.0,rich,people,global,emergency,guy,pushing,rich,people,global,emergency,guy
26.0,corona,virus,corona,virus
27.0,family,safe,social
28.0,yang,iris,professor,confident,zoom,rest,classes,today,watched
29.0,spit,fear,safety,especially,hard,grow,spit,fear,safety,especially,hard,grow
30.0,college,spring,break,weekend,tested,positive
32.0,love,love,hope,colin,safe,happy
34.0,eye,opener,data,community,acquired,eye,opener,data,community,acquired
35.0,hold,press,briefing,response,watch,live,stream,twitter,hold,press,briefing,response,watch,live,stream
36.0,starting,think,covid,conspiracy,dogs,look
37.0,control,contact,relevant,control,contact,relevant
39.0,social,lot,people,grasp,house,social,lot,people,grasp
40.0,know,export,sugar,life,expectancy,know,export,sugar,life,expectancy,cub
41.0,people,focus,study,influence,making,people,focus,study,influence
43.0,right,found,given,corona,infected,person,according
46.0,district,total,meant,maintain,essential,situation,district,total,meant,maintain,essential
49.0,corona,clearly,people,travel,history,abroad,corona,clearly,people,travel,history,abroad
50.0,china,let,people,perish,trace,china,let,people,perish,trace
51.0,order,help,fight,covid,sent,sent,china,sent,order,help,fight,covid,sent,sent,china,sent
52.0,kudos,old,come,left,amazing,work,kudos,old,come,left,amazing,work
53.0,president,trump,getting,record,voter,turnout,built,great,economy,president,trump,getting,record,voter,turnout,built,great,economy
54.0,thing,feel,hopeless,right,watching,rage,republican,governor
56.0,senate,minority,leader,calling,stimulus,bill,senate,minority,leader,calling,stimulus,bill
58.0,basic,detective,work,country,outbreak,country,come,vaccine
59.0,creator,rocky,talking,live,thing,seen,creator,rocky,talking,live,thing
61.0,given,pushing,version,bill,thank,god,democrat,president,right,given,pushing,version,bill,thank,god,democrat,president,right
62.0,want,surprise,wedding,animal,crossing,new,real,life,event
63.0,thank,god,finally,took,action,shut,entire
64.0,got,stay,social
65.0,hong,let,guard,model,saw,confirmed,double,hong,let,guard,model,saw,confirmed
67.0,police,making,lock,alleviate,anxiety,police,making,lock,alleviate,anxiety
69.0,senate,come,time,great,need,senator,receive,millions,senate,come,time,great,need,senator,receive,millions
70.0,professor,confident,zoom,rest,classes,today,watched,professor,confident,zoom,rest,classes,today,watched
71.0,went,early,sign,young,people,paper,toilet
73.0,hope,youth,disappoint,election,breaking,voting,senate,bill,president,additional,address,covid
74.0,pass,message,kicking,joint,campaign,equip,football,community,pass,message,kicking,joint,campaign,equip
77.0,new,going,fare,free,service,covid,overall,new,going,fare,free,service,covid,overall
78.0,reliance,set,hospital,bed,reliance,set,hospital
82.0,showing,try,stop,social,showing,try,stop,social
84.0,democrat,majority,whip,virus,stimulus,bill,tremendous,opportunity,democrat,majority,whip,virus,stimulus,bill,tremendous,opportunity
87.0,spreading,word,god,outrage,evangelical,group,trying,contact,isolated,amid,spreading,word,god,outrage,evangelical,group,trying,contact,isolated
88.0,nation,today,struggling,find,ways,defeat,busy,nation,today,struggling,find,ways,defeat,busy
90.0,new,democratic,presidential,nominee,amy,husband,covid,new,democratic,presidential,nominee,amy,husband,covid
91.0,professor,confident,zoom,rest,classes,today,watched,professor,confident,zoom,rest,classes,today,watched
92.0,guess,forget,pathetic,thick,rest,probably,guess,forget,pathetic,thick,rest,prob
94.0,took,credit,line,pay,crisis,buy,pizza,took,credit,line,pay,crisis,buy,pizza
96.0,know,export,sugar,life,expectancy,know,export,sugar,life,expectancy,cub
97.0,shutting,equivalent,hoarding,toilet,paper,far,pubic,health,shutting,equivalent,hoarding,toilet,paper,far,pubic
98.0,cow,covid
99.0,extended,stay,home,successful,issuing,mortgage,rent,debt,extended,stay,home,successful,issuing,mortgage,rent,debt
101.0,stop,roaming,thinking,catch,virus,spread,word,social,stop,roaming,thinking,catch,virus,spread,word,social
102.0,global,reach,global,reach
103.0,taps,list,visit,covid,knowing
104.0,surprising,enduring,relevance,fringe,race,surprising,enduring,relevance,fringe,race
105.0,longer,political,blame,threat
109.0,breaking,new,new,total,breaking,new,new,total
110.0,salute,thank,salute,thank
112.0,week,dancing,knowing,world,enter,express,week,dancing,knowing,world,enter,express
114.0,corrupt,test,consider,corrupt,test,consider
115.0,pro,tip,going,respond,reporter,expletive,laced,response,status,pro,tip,going,respond,reporter,expletive,laced,response
116.0,image,seasonal,flu,statistics
118.0,wow,tanan,senate,bill,president,additional,deal,covid
119.0,trump,took,test,came,negative,trump,took,test,came,negative,trump,took,test,came,negative,trump,took,test,came,negative
120.0,sorry,hear,caught,covid,hell,sorry,hear,caught,covid,hell
121.0,predictable,headline,day,goes,predictable,headline,day,goes
124.0,breaking,probable,hospital,breaking,probable,hospital
126.0,dad,days,ago,hospital,restricted,order,contain,dad,days,ago,hospital,restricted,order
127.0,people,saving,stay,home,protect,save,people,saving,stay,home,protect,save
130.0,clear,literally,trying,help,capitalize,deadly,pandemic,clear,literally,trying,help,capitalize,deadly,pandemic
131.0,spread,false,government,propaganda,contagious,spread,false,government,propaganda,contagious
132.0,president,showing,corona,drip,hand,matching,fabric,surgical,impeccable,president,showing,corona,drip,hand,matching,fabric,surgical,impeccable
140.0,look,weekend,candidate,away,shoehorn,look,weekend,candidate,away,shoehorn
143.0,land,rocket,dime,help,new,experimental,treatment,going,tried
