3.0,white,people
4.0,sir,check,view,employee,age,elder,people
5.0,ani,fever,soar,throat,yesterday,isolated,fever,soar,throat,yesterday,isolated
6.0,population,corona,case,population,corona,case,population,corona,case,population,corona,case
7.0,resident,covid,hour,journey,home
9.0,lot,united,elect,lot,united,elect
10.0,story,woefully,slow,response
11.0,people,know,discovered,cope,housework,people,know,discovered,cope,housework
12.0,tot,lan
13.0,para,masker
14.0,son,lewis,plaza,cancer,pandemic,fighting,real,son,lewis,plaza,cancer,pandemic,fighting,real
15.0,pandemic,punishment,best,player,world,lionel,broken,football
16.0,know,academy,team,know,best,know,academy,team,know,best
17.0,canso,viva,canso,viva
18.0,covid,covid
19.0,billion,pandemic,know,job,billion,pandemic,know
21.0,great,way,start,week,ahead,confirmed,peak,great,way,start,week,ahead,confirmed,peak
22.0,join,june,executive,director,join,june,executive,director
23.0,dos,pandemia,dos,pandemia
24.0,hain,bahar,corona,band
25.0,list,republic,march,debate,corona,list,republic,march,debate,corona
26.0,right,journalist,beaten,right,journalist,beaten
27.0,encore,total,encore,total
28.0,know,bigger,happening,moment,totally,support,movement,help,know,bigger,happening,moment,totally,support,movement,help
29.0,daughter,heartless,evil,covid,business,moving,daughter,heartless,evil,covid,business
30.0,second,thing,country,international,world
31.0,nights,chill,tonight,come,nights,chill,tonight,come
32.0,said,wait,meet,face,face,covid,bright
33.0,face,private,prosecution,breaking,face,private,prosecution,breaking
34.0,bald,die,corona
37.0,canada,canada
38.0,bed,surrounded,dead,mentally,matter,strong,bed,surrounded,dead,mentally,matter,strong,eve
39.0,die,vera,die,sic
40.0,depressingly,familiar,theme,response,chaos,chaos,depressingly,familiar,theme,response,chaos,chaos
41.0,han,covid
42.0,piss,haystack,people,right,protest,peacefully,observing,social,right,attack
43.0,thread,ongoing,public,debate,form
44.0,door
45.0,dan,covid,dan
46.0,china,han,china,han
47.0,dramatically,lasting,effect,want,hear,dramatically,lasting,effect,want,hear,view
48.0,tout,tout
49.0,lot,death,case,ratio,declined,lot,death,case,ratio,declined
50.0,hem,govern,amic,covid,hem,govern,amic,covid
51.0,majority,central,forget,government,majority,central,forget,government
52.0,anda
53.0,rated,effective,treatment,poll,rated,effective,treatment,poll
54.0,paquet,gel
55.0,continent,check,link,snaps,continent,check,link
56.0,track,time,virus
57.0,covid,covid
58.0,depend,thought,read,week
59.0,corona,spit,corona,spit
60.0,brazen,mosque,brazen,mosque
61.0,man,corona,hat,man,corona,hat,ode
62.0,variety,complete,lack,social,variety,article,praising,trying,variety,complete,lack,social,variety,article,praising,trying
63.0,typically,thoughtful,tweet,anti,racist,campaigner,black,typically,thoughtful,tweet,anti,racist,campaigner,black
64.0,tomorrow,page,tune,insightful,conversation,tomorrow,page,tune,insightful,conversation
65.0,continue,hold,china,accountable,pandemic,continue,hold,china,accountable,pand
66.0,crisis,wake,humanity,ignore,pandemic
67.0,people,right,protest,peacefully,observing,social,right,attack,police,people,right,protest,peacefully,observing,social,right,attack
68.0,insightful,analysis,lack,testing,capacity,underpinning,response,pap,insightful,analysis,lack,testing,capacity,underpinning,response
69.0,sudden,pandemic,people,sudden,pandemic,people
70.0,new,covid,person,infected,new,covid,person,infected
71.0,saya,saya
72.0,corona,gens,corona,gens
73.0,feel,like,fighting,know,prepared,watch,country,taken,feral,scum,feel,like,fighting,know,prepared,watch,country,taken,feral,scum
74.0,envisage,prolonger,macron,envisage,prolonger,macron
75.0,yang,yang
76.0,drama,home,quarantine,hell,come,healthy,saying,corona,drama,home,quarantine,hell,come,healthy,saying
77.0,covid,yang,organ,organ,yang,paling
78.0,day,zero,covid,wait,grown,media,day,zero,covid,wait,grown,country
79.0,action,covid
80.0,world,covid,pandemic,global,economy,convene,world,covid,pandemic,global,economy
81.0,covid
