3.0,book,book
4.0,guy,spat,belly,gave,virus,guy,spat,belly,gave,virus
7.0,exactly,day,covid,today,covid,society
8.0,fantastic,opportunity,great,year,focus,bridge,find,writing,pandemic,young,high
9.0,imagine,living,country,took,respond,pandemic,militarize,police,imagine,living,country,took,respond,pandemic,militarize,police
11.0,remember,jazz
13.0,partner,insular,republic
14.0,press,briefing,press,list,ask,camera,list,proof
16.0,imagine,living,country,took,respond,pandemic,militarize,police,imagine,living,country,took,respond,pandemic,militarize,police
18.0,time,prepare,stop,inevitable,time,prepare,stop,inevitable
19.0,covid,catalyst,social,change,need
20.0,june,june,people,tested,positive,june,june,people,tested,posit
22.0,tear,gas,pandemic,respiratory,system,tear,gas,pandemic,respiratory,system
23.0,yeah,badge,accountable,beating,yeah,badge,accountable,beating
25.0,provide,information,plan,reopen,school,received,guidance,welsh,provide,information,plan,reopen,school,received,guidance
27.0,anecdotal,evidence,demand,likely,related,covid,impact,state,level,anecdotal,evidence,demand,likely,related,covid,impact,state
28.0,hospital,staff,covid,believe,narrative,hospital,staff,covid,believe,narrative
29.0,county,council,property,trip,correct,county,council,property,trip
30.0,pandemic,recession,super,high,health,care,college,tuition,refund,food,pandemic,recession,super,high,health,care,college,tuition,refund
31.0,people,central,deeply,upset,disturbed,brutal,killing,people,central,deeply,upset,disturbed,brutal,killing
35.0,round,labour,party,round,labour,party
39.0,current,student,check,update,academic,year,current,student,check,update,academic
40.0,imagine,attack,para,mass,testing,iba,pang,para,pandemic,imagine,attack,para,mass,testing,iba,pang,para
42.0,posting,isolation,day,stay,home,little,peek,week,posting,isolation,day,stay,home,little,peek,week
43.0,pride,year,especially,difficult,youth,pandemic,police,brutality,pride,year,especially,difficult,youth,pandemic,police,brutality
44.0,vogue,line,cover,issue,cover,story,millions,vogue,line,cover,issue,cover,story
46.0,believe,riot,season,covid,believe,riot,season,covid
48.0,start,black,help,fight,watched,send,testing,start,black,help,fight,watched,send
50.0,economic,tsunami,coming,nature,tsunami,economy,economic,tsunami,coming,nature,tsunami,economy
51.0,people,lost,family,covid,unable,visit,days,people,lost,family,covid,unable,visit,days
54.0,adage,tuned,racial,covid,coverage,silent,video,statement,ben,tuned,racial,covid,coverage,silent,video,statement,ben
