2.0,yeah,man,money,spending,getting
4.0,got,locked,time,quarantine,count,support,mentally,got,locked,time,quarantine,count,support,mentally
5.0,bravo,respect,spew,delusional,republican,trump,clash,thought,address,nation,fine,don,lemon,certainly
6.0,new,bench,billboard,twice,able,covid
7.0,fan,match,join,finale,relay,stream,combat,covid,channel,fan,match,join,finale,relay,stream,combat,covid,channel
8.0,imagine,chose,patois,imagine,chose,patois
9.0,light,ongoing,spread,covid,discuss,light,ongoing,spread,covid,discuss
11.0,odd,corona,case,listed
12.0,walk,hard,walk,hard
15.0,got,excited,hit,went,war,rip,corona,virus,got,excited,hit,went,war,rip,corona
18.0,pay,attention,people,true,demonstration,pay,attention,people,true,demonstration
19.0,testing,free,public,going,understand,scope,crisis,testing,free,public,going,understand,scope,crisis
21.0,best,heavily,impacted,current,state,travel,health,covid,best,heavily,impacted,current,state,travel,health
22.0,worth,completely,shutting,enter
23.0,budget,chief,continued,push,significant,cut,infectious,budget,chief,continued,push,significant,cut,infectious
25.0,realize,joe,opinion,piece,today,realize,joe,opinion,piece,today
26.0,corona,virus,home,accomplished,yesterday,globally
27.0,covid,stock,market,turbulent,trump,travel,combat,virus,future,covid,stock,market,turbulent,trump,travel,combat,virus,future
32.0,today,constantly,working,filter,waste,blood,certain,today,constantly,working,filter,waste,blood,certain
33.0,today,designed,limit,covid,risk,campus,community,today,designed,limit,covid,risk,campus,community
34.0,corona,virus,corona,virus
43.0,exaggerating,apocalypse,exaggerating,apocalypse
44.0,hypertension,leading,factor,hypertension,leading,factor
45.0,update,clinic,covid,test,opposed,days,update,clinic,covid,test,opposed,days
46.0,notice,contrast,working,hard,taking,smart,decisive,action,protect,notice,contrast,working,hard,taking,smart,decisive,action,protect,cor
49.0,watch,bank,state,financial,crisis,watch,bank,state,financial,crisis
50.0,corona,virus
52.0,know,hate,coming,social,media,epidemic,going,anxiety,flare,pretty,badly
54.0,island,volleyball,survive,corona
55.0,excuse,covid,outbreak,para,racist,people,excuse,covid,outbreak,para,racist,people
56.0,north,east,reach,people,covid,region
57.0,needs,gone,summer,need,needs,gone,summer,need
58.0,personally,getting,tired,hearing,corona,virus
59.0,headline,funny,easy,panic,misread,think,gone,headline,funny,easy,panic,misread,think,gone
60.0,searching,bob,seeing,relational,search,word,corona,virus
62.0,complete,idiot,pretty,sure,thing,work,guessing,pretty,soon,closed,pay,stay,home,pension
64.0,covid,spreading,country,certain,leader,speaking,china,covid,spreading,country,certain,leader,speaking,china,province
65.0,ill,corona,hold,virus,dad,vacation,right,ill,corona,hold,virus,dad,vacation,right
66.0,tired,hearing,corona,virus,tired,hearing,corona,virus
68.0,aware,include,runny,nose,sore,throat,cough,sweaty,weak
71.0,breaking,news,revealed,reason,lack
73.0,corona,virus,corona,virus,corona,virus,corona,virus
75.0,thread,effective,government,response,like,testing,free,widely,thread,effective,government,response,like,testing,free
76.0,senate,blocked,emergency,sick,leave,bill,moving,forward,nation,senate,blocked,emergency,sick,leave,bill,moving,forward,nation
79.0,lewis,impressive,today,calling,cavalier,attitude,lewis,impressive,today,calling,cavalier,attitude
80.0,covid,end,bazaar,covid,end,bazaar
82.0,bad,disease,bad,bad,flu,worse,flu,sick,bad,disease,bad,bad,flu,worse,flu,sick
84.0,wealth,health,tourism,lecturer,travel,ban,positive,spin,south
85.0,understand,job,snow,days,radio,silent,corona,virus,issue,understand,job,snow,days,radio,silent,corona,virus,issue
88.0,safe,evil,shower
90.0,stocks,open,trading,suspended,banning,travel,stop,spread,stocks,open,trading,suspended,banning,travel,stop,spread
91.0,man,genius,figured,corona,virus,problem,man,genius,figured,corona,virus,problem
92.0,virus,gon,stop,outside,catch,time,ill,corona,lime,virus,gon,stop,outside,catch,time,ill,corona,lime
93.0,vaccine,available,year,medical,hope,damn,flu,shot,vaccine,available,year,medical,hope,damn,flu,shot
94.0,outbreak,confirmed,outside,china,starting,late,outbreak,confirmed,outside,china,starting,late
95.0,corona,virus,new,black,plague,corona,virus,new,black,plague
96.0,remotely,curious,media,ask,joe,senior,senator,forever,remotely,curious,media,ask,joe,senior,senator
97.0,breaking,government,community,quarantine,manila,political,economic,center,breaking,government,community,quarantine,manila,political,economic
99.0,cold,thought,tested,cold,thought,tested
100.0,president,trump,taken,unprecedented,respond,protect,health
103.0,married,gon,ignore,high,risk,spreading,covid,expert
106.0,join,twitter,deputy,director,infectious,jay,butler,answer,join,twitter,deputy,director,infectious,jay,butler,answer
107.0,wait,wait,wait,tweet,corona,coming
109.0,crisis,severe,pandemic,government,owe,general,public,reliable,crisis,severe,pandemic,government,owe,general,public
110.0,breaking,crisis,leaves,key,interest,unchanged,cheap,buy,breaking,crisis,leaves,key,interest,unchanged,cheap
111.0,criminal,revolting,ordered,health,treat,level,criminal,revolting,ordered,health,treat,level,meet
114.0,probably,bad,idea,xenophobe,president,believe,science,read,staffed,probably,bad,idea,xenophobe,president,believe,science,read
115.0,simple,protect,simple,protect
117.0,note,covid
118.0,think,pro,tip,buddy,coming,inside,white,house,think,pro,tip,buddy,coming,inside,white,house
120.0,midst,global,pandemic,senate,blocked,emergency,sick,leave,affected,midst,global,pandemic,senate,blocked,emergency,sick,leave,affected
121.0,address,know,thing,folksy,kind,president,tell,corn,address,know,thing,folksy,kind,president,tell
122.0,look,current,north,response,compare
124.0,update,survive,air,virus,update,survive,air,virus
127.0,right,thing,release,animal,crossing,today,forcing,people,stay,inside,right,thing,release,animal,crossing,today,forcing,people,stay,inside,cor
