0.0,ben,right,ben,right
1.0,covid,vaccine,good,immune,response,new,study,covid,vaccine,good,immune,response,new,study
2.0,headline,vaccine,safe,read,article,find,need,testing,yahoo,headline,vaccine,safe,read,article,find,need,testing
4.0,zero,credibility,common,sense,tell,virus,fading,zero,credibility,common,sense,tell,virus,fading
8.0,organizer,address,equitable,access,abortion,health,care,organizer,address,equitable,access,abortion,health
9.0,lewis,fury,need,new,right,opinion,lewis,fury,need,new,right,opinion,reg
11.0,feel,like,people,ignore,social,fall,winter,come
14.0,covid,contact,tracing,government,covid,contact,tracing,government
15.0,yes,aware,joe,burr
16.0,going,right,day,covid,like,broken,clock,right,twice,day,latest,million,uncut,clip,trump,humiliating
17.0,shaved,head,applied,lime,juice,scalp,rid,dandruff
19.0,piece,night,conspiracy,piece,night,conspiracy
20.0,unseen,footage,government,trying,flatten,curve,unseen,footage,government,trying,flatten,curve
21.0,busy,busy
22.0,record,china,flooding,supply,chain,trump,right,virus
24.0,unacceptable,unacceptable
25.0,let,help,woman,grieving,dead,narrative,handled,corona,let,help,woman,grieving,dead,narrative,handled
26.0,increase,past,ensure,increase,past,ensure
28.0,vitamin,deficiency,covid
29.0,new,covid,sparking,worse,pandemic,new,covid,sparking,worse,pandemic
31.0,shock,non,payment,despite,fact,shock,non,payment,despite,fact
32.0,pray,god,covid,outbreak,happen,school,pray,god,covid,outbreak,happen,school
34.0,fake,evil,bastard,fake,evil,bastard
35.0,recent,covid,affected,project,survive
37.0,pandemic,jeff,saw,wealth,increase,billion,million,filing,pandemic,jeff,saw,wealth,increase,billion,million,filing
38.0,simply,amazing,happy,accept,collateral,damage,simply,amazing,happy,accept,collateral,damage
40.0,trump,getting,ready,daily,trump,getting,ready,daily
44.0,university,vaccine,immune,response,safe,hugely,promising,university,vaccine,immune,response,safe,hugely,promising
45.0,serve,ask,question,time,world,central,kitchen,relief,group,humanitarian,work
46.0,imagine,touch,reality,occasionally,hostile,interview,fox,news,president,trump,bold,claim
47.0,kind,president,cut,tracing,middle,raging,plague,kind,president,cut,tracing,middle,raging,plague
48.0,excited,kick,social,media,campaign,time,excited,kick,social,media,campaign,time
49.0,pregnant
50.0,piece,night,conspiracy,piece,night,conspiracy
51.0,days
54.0,forgive,repetition,covid,leave,room,month,miserable,constantly,forgive,repetition,covid,leave,room,month,miserable
56.0,sequence,trump,control,national,covid,data,trump,regular,sequence,trump,control,national,covid,data,trump,regular
59.0,history,record,mismanagement,pandemic,mismanagement,history,record,mismanagement,pandemic,mismanagement
61.0,positive,reality,positive,imagine,positive,reality,positive,imagine
62.0,dad,covid,working,nail,salon,enforce,mask,closed,dad,covid,working,nail,salon,enforce,mask,closed
64.0,stop,making,president,accomplish,congress,needs,imagine,future,create,trump,white,house,future,tackle,climate
65.0,amid,shortage,dod,critical,contract,manufacturer,deliver,amid,shortage,dod,critical,contract,manufacturer,deliver
67.0,hey,going,try,want,advocacy,fund,hey,going,try,want,advocacy,fund
69.0,simply,amazing,happy,accept,collateral,damage,simply,amazing,happy,accept,collateral,damage
70.0,time,right,thing,min
71.0,terrifying,watch,trump,way,interview,religion,self,terrifying,watch,trump,way,interview,religion
73.0,safe,physical,distance,group,ladies,kissing,shaking,safe,physical,distance,group,ladies,kissing,shaking
74.0,hill,die,like
76.0,thread,abhorrent,covid,hospital,staff,thread,abhorrent,covid,hospital,staff
77.0,covid,vaccine,works,despite,able,works,flu,covid,vaccine,works,despite,able,works,flu
79.0,available,left,unused,government,respond,available,left,unused,government,respond
80.0,fall,winter,high,school,sports,moving,spring,covid,fall,winter,high,school,sports,moving,spring,covid
83.0,trump,getting,ready,daily,trump,getting,ready,daily
84.0,sure,common,knowledge,covid,long,sick,sure,common,knowledge,covid,long,sick
85.0,breaking,president,trump,disease,known,mankind,accidental,breaking,president,trump,disease,known,mankind,accidental
86.0,scandalous,senior,nurse,silenced,height,pandemic,scandalous,senior,nurse,silenced,height,pandemic
87.0,people,confirmed,covid,registered,yesterday,new,positive,confirmed,people,confirmed,covid,registered,yesterday,new,positive,confirmed
88.0,county,public,health,county,medical,examiner,report,new,data,county,medical,office,light,covid
89.0,wear,mask
90.0,covid,million,population,united,kingdom,rest,covid,million,population,united,kingdom,rest
91.0,vaccine,produced,safe,immune,reaction,study
94.0,man,confirmed,senate,acting,approval,people,man,confirmed,senate,acting,approval,people
96.0,spread,word,spread,word
97.0,latest,new,latest,new
101.0,dad,covid,working,nail,salon,enforce,mask,closed,dad,covid,working,nail,salon,enforce,mask,closed
103.0,black,immigrant,woman,lease,black,immigrant,woman,lease
107.0,false,positive,covid,false,false,positive,covid,false
112.0,trump,getting,ready,daily,trump,getting,ready,daily
113.0,parliament,today,order,deal,emergency,legislation,related,covid,parliament,today,order,deal,emergency,legislation,related,covid
115.0,competent,administration,zero
117.0,wait,school,getting,covid,high
118.0,respect,professionalism,grace,pressure
119.0,let,help,woman,grieving,dead,narrative,handled,corona,let,help,woman,grieving,dead,narrative,handled
121.0,share,second,case,covid,mission,stay,safe,share,second,case,covid,mission,stay,safe
122.0,odds,outbreak,stopped,large,government,odds,outbreak,stopped,large,government
123.0,chief,nurse,briefing,revealed,independent,chief,nurse,briefing,revealed,independent
124.0,people,pro,life,people,pro,life
125.0,like,testing,positive
126.0,covid,perfect,storm,increase,sexual,abuse,covid,perfect,storm,increase,sexual,abuse
127.0,corona,corruption,ventilator,oxygen,cost,corona,corruption,ventilator,oxygen,cost
130.0,sorry,feel,way,continue,enjoy,community,despite,choice,circulate,racist,right,wing,sorry,feel,way,continue,enjoy,community,despite,choice,circulate,racist,right,wing
132.0,class,early,pandemic,wanting,class,early,pandemic,wanting
133.0,look,look
135.0,imagine,future,create,trump,white,house,future,tackle,climate,crisis,imagine,future,create,trump,white,house,future,tackle,climate
136.0,powerful,pandemic,control,good,hand,washing,powerful,pandemic,control,good,hand,washing
137.0,occasionally,hostile,interview,fox,news,president,trump,bold,claim,occasionally,hostile,interview,fox,news,president,trump,bold,claim
141.0,imagine,future,create,trump,white,house,future,tackle,climate,crisis,imagine,future,create,trump,white,house,future,tackle,climate
142.0,better,social,know,happy,better,social,know,happy
143.0,journalist,jeff,tested,positive,covid,good,journalist,jeff,tested,positive,covid,good
144.0,facing,making,covid,control,end,facing,making,covid,control,end
145.0,remotely,acceptable,starting,point,going,remotely,acceptable,starting,point
149.0,day,work,start,ago,thank,days,entertainment
150.0,new,discuss,building,stress,social,listen,new,discuss,building,stress,social,listen
152.0,exactly,death,cult,exactly,death,cult
153.0,think,wasted,cricket,ground,form,hell,probably,find,think,wasted,cricket,ground,form,hell,probably,find,vaccine,covid
155.0,democrat,responsible,elderly,people,half,democrat,responsible,elderly,people,half
156.0,guess,fight,self,righteous,hypocrite,mike,parson,got,school,covid
157.0,sheer,vanity,dying,twitter,milestone,sheer,vanity,dying,twitter,milestone
158.0,trump,responsible,pandemic,united
159.0,valid,reason,wear,mask,weigh
161.0,officially,begging,stay,home,figure,way,officially,begging,stay,home,figure,way
162.0,mike,parson,got,school,covid,mike,parson,got,school,covid
164.0,rational,article,came,today,world,getting,rational,logical,rational,article,came,today,world,getting,rational,log
165.0,care,poor,innocent,people,western,people,launch,today,courtesy
168.0,daily,negligently,fail,plan,pandemic,daily,negligently,fail,plan,pandemic
170.0,seen,charity,advert,donate,month,fronted,celebrity,vaguely,calling,seen,charity,advert,donate,month,fronted,celebrity,vaguely,calli
172.0,trump,determined,erase,successful,presidency,threw,pandemic,preparedness,left,trump,determined,erase,successful,presidency,threw,pandemic,preparedness,left
173.0,today,comeback,act,big,step,today,comeback,act
174.0,care,health,thing,hey,got,march,sick,severe,respiratory,cardiovascular
175.0,consolidated,data,period,collected,official,consolidated,data,period,collected,official
177.0,imagine,following,science,dumping,senior,publicly,imagine,following,science,dumping,senior,publicly
178.0,phase,covid,vaccine,trial,vaccine,safe,immunogenic
179.0,hope,coming,essential,week,unemployment
180.0,trust,life,looking,pence,trust,life,looking,pen
181.0,want,wear,mask,china,protect,virus,china,buy,crap,want,wear,mask,china,protect,virus,china,buy,crap,china
182.0,handled,best,ask,midget,doctor
184.0,find,breathe,good,justification,wear,mask,good,prevent,find,breathe,good,justification,wear,mask,good,prevent
185.0,imagine,future,create,trump,white,house,future,tackle,climate,crisis,imagine,future,create,trump,white,house,future,tackle,climate
186.0,new,premier,ford,abide,days,sick,leave,new,premier,ford,abide,days,sick,leave
187.0,china,data,china,data
189.0,trump,waste,time,press,let,look,like,trump,waste,time,press,let,look
