2.0,talk,actual,talk,actual
3.0,talk,actual,talk,actual
4.0,finally,seeing,finally,seeing
5.0,day,country,highest,death,toll,day,country,highest,death,toll
6.0,leader,false,covid,die,way,impose,dictatorship,leader,false,covid,die,way,impose,dictatorship
7.0,cocoon,trying,meet,new,want,hear
10.0,related,news,republican,governor,told,stop,modeling,covid,ignorance,related,news,republican,governor,told,stop,modeling,covid,ignorance
11.0,new,video,duchess,reading,duck,rabbit,celebrate
12.0,biggest,test,pandemic,economy
14.0,song,emotional,song,emotional
16.0,reason,abstain,new,cam,reason,abstain,new
17.0,collaboration,like,slack,zoom,commonplace,associated,homework
18.0,civil,demand,halt,dangerous,irresponsible,judicial,amid,pandemic,civil,demand,halt,dangerous,irresponsible,judicial,amid
20.0,jail,time,cutting,hair,stay,home,order,contempt,court,jail,time,cutting,hair,stay,home,order,contempt
23.0,merrily,actively,helping,obvious,tory,dead,cat,distraction,merrily,actively,helping,obvious,tory,dead,cat,distraction
28.0,travelled,undergo,today,prepare,return,travelled,undergo,today,prepare,return
29.0,scary,parent,young,child,know,scary,parent,young,child,know
31.0,duck,rabbit,duchess,harry,duke,camera,read,duck,rabbit,duchess,harry,duke,camera,read
32.0,city,pandemic,relieved
33.0,covid,researcher,making,tremendous,progress,covid,researcher,making,tremendous,progress
35.0,real,cheap,political,shot,covid,death,pure,background,detail
36.0,pressure,result,covid,crisis,crises,like,gender,equality,pressure,result,covid,crisis,crises,like,gender
39.0,man,crisis,greater,depression,pandemic,global,economy,join,man,crisis,greater,depression,pandemic,global,economy,join
43.0,got,famous,gud,clinic,complete,failure,dis,blood,patient,old,survival,low
44.0,mall,support,charity,event,support,vulnerable,small,mall,support,charity,event,support,vulnerable
45.0,rep,confirmation,hearing,today,thought,trump,accurately,told,serio,rep,confirmation,hearing,today,thought,trump,accurately,told
46.0,spite,pathetic,condition,epidemic,sant,continuously,provide,service,spite,pathetic,condition,epidemic,sant,continuously,provide,ser
47.0,national,declare,climate,emergency,carbon,tax
49.0,stay,home
50.0,salon,owner,spend,week,county,jail,test,positive,salon,owner,spend,week,county,jail,test,positive,corona
52.0,find,policy,action,accordingly
54.0,cover,cough,respiratory,infected,person,cover,cough,respiratory,infected,person
55.0,grim,reaper,pandemic,provoke,provide,dark,humor
56.0,new,days,stay,home,order,new,days,stay,home,order
57.0,government,government,good
58.0,dehumanize,treat,inhuman,way,use,public,health,dehumanize,treat,inhuman,way,use,public
60.0,corona,virus,got,washing,like,stoned,corona,virus,got,washing,like,stoned
61.0,linked,rise,sharply,japan,pacific,news,analytics
63.0,genetic,diversity,found,hit,suggesting,extensive,global,transmission,early
64.0,agree,covid,restricted,people,hesitate,travel,business,working,democracy,lawmaker,able,dare,slavery,bold,necessary
65.0,woman,die,covid,michigan,prison,allegedly,woman,die,covid,michigan,prison
69.0,course,course
70.0,lovely,clean,answer,actually
72.0,leading,example,battle,hunger,despite,modest,leading,example,battle,hunger,despite,modest
73.0,searching,virgin,stop,ready,save,world,searching,virgin,stop,ready,save,world
75.0,authority,social,food,support,scheme,providing,authority,social,food,support,scheme,providing
76.0,natural,virus,animal,human,transmission,develop,check,short,clip,natural,virus,animal,human,transmission,develop,check,short
79.0,photo,model,brazil
80.0,active,active
81.0,good,news,effect,chloroquine,corrected,interval,good,news,effect,chloroquine,corrected,interval
82.0,seven,millions,people,unemployment,millions,struggle,new,reality,forced,seven,millions,people,unemployment,millions,struggle,new
83.0,product,boom,coming,product,boom,coming
84.0,look,actually,happening,covid,pad,covid,admit,counting,sam,look,actually,happening,covid,pad,covid,admit
87.0,time,enter,gaff,time,enter,gaff
88.0,independent,testing,target,day,end,testing,target,day,end
89.0,daily,covid,brazil,tomorrow,brazil,daily,covid,brazil,tomorrow,brazil
93.0,dear,twitter,stop,honest
94.0,reveal,hosting,competition,person,best,dance,reveal,hosting,competition,person,best,dance
96.0,covid,people,ran,away,quarantine,covid,people,ran,away,quarantine
100.0,ally,whilst,starting,believe,quill
103.0,defence,minister,vaccine,corona,copyright,defence,minister,vaccine,corona
106.0,repeatedly,kept,saying,lust,power,badly,messing,repeatedly,kept,saying,lust,power,badly,messing
108.0,sir,got,image,social,media,platform,medicine,covid,want,know
109.0,wishing,people,think,planetary,scale,long,common,enemy,like,hum,brief,reaction,seen,lens,scientist
110.0,covid,giveaway,enter,follow,like,tag,winner,picked,covid,giveaway,enter,follow,like,tag,winner
111.0,difference,breaking,blonde,prime,breaking,difference,breaking,blonde,prime
112.0,model,testing,dispersed,model,testing,dispersed
113.0,warehouse,worker,island,fulfillment,center,according,warehouse,worker,island,fulfillment,center,according
114.0,johannes,leak,reaction,covid,little,proportion,johannes,leak,reaction,covid,little,proportion
115.0,phrase,ball,game,trump,death,trump,time,reopen,country,despite,rebound
116.0,holding,live,chat,rocket,science,new
117.0,thinking,south,relax,social,went,date,thinking,south,relax,social,went,date
121.0,video,shot,harry,reading,book,duck,rabbit,birthday,boy
122.0,disaster,warning,sent,mobile,event,natural,disaster,warning,sent,mobile,event
123.0,blame,sole,country,hell,hell,mem,blame,sole,country,hell,hell
124.0,real,arrive,begin,real,arrive,begin
